      # Time            Volume             Ee11              Ee22              Ee33              Ee23              Ee13              Ee12       
    5.00000000e-02    9.99984364e-01    6.52003825e-07    5.97931386e-07   -7.28543824e-06   -3.45217001e-07    3.57865458e-07   -6.10392343e-09
    2.06250000e-01    9.99935759e-01    2.70919917e-06    2.45910974e-06   -2.99409069e-05   -1.42185673e-06    1.46827408e-06   -2.32850540e-08
    4.50390625e-01    9.99909751e-01    3.60933531e-06    4.65625706e-06   -4.18236912e-05   -2.25534397e-06    2.12169909e-06    5.74713505e-07
    6.41125488e-01    9.99905645e-01    3.58532871e-06    4.89965655e-06   -4.33697199e-05   -2.36220578e-06    2.15151641e-06    9.13068315e-07
    8.39807638e-01    9.99903137e-01    3.63753731e-06    4.90831606e-06   -4.42289530e-05   -2.37865204e-06    2.17619019e-06    1.09052126e-06
    1.04676821e+00    9.99901078e-01    3.71307652e-06    4.89393340e-06   -4.49373720e-05   -2.36569049e-06    2.21080822e-06    1.22020841e-06
    1.26235214e+00    9.99899206e-01    3.80320636e-06    4.87649452e-06   -4.55872737e-05   -2.35081250e-06    2.24676952e-06    1.33873103e-06
    1.48691873e+00    9.99897410e-01    3.90936724e-06    4.85737408e-06   -4.62230085e-05   -2.33628919e-06    2.28710170e-06    1.44405441e-06
    1.72084227e+00    9.99895640e-01    4.01955208e-06    4.84212896e-06   -4.68665829e-05   -2.32240072e-06    2.33841758e-06    1.54041770e-06
    2.08634779e+00    9.99893048e-01    4.17691793e-06    4.82123605e-06   -4.78534395e-05   -2.30084519e-06    2.43068773e-06    1.67739474e-06
    2.46708271e+00    9.99890445e-01    4.32816925e-06    4.80664364e-06   -4.88731635e-05   -2.27505023e-06    2.53218899e-06    1.81025405e-06
    2.86368158e+00    9.99887810e-01    4.47583771e-06    4.81028744e-06   -4.99272874e-05   -2.24917529e-06    2.63254547e-06    1.93993717e-06
    3.27680541e+00    9.99885127e-01    4.60923468e-06    4.84216450e-06   -5.10227574e-05   -2.22564513e-06    2.72672417e-06    2.06884204e-06
    3.70714273e+00    9.99882382e-01    4.73260496e-06    4.89720641e-06   -5.21605708e-05   -2.20412802e-06    2.81648724e-06    2.20119417e-06
    4.15541077e+00    9.99879566e-01    4.85116415e-06    4.96876130e-06   -5.33448938e-05   -2.18765478e-06    2.90616352e-06    2.33123694e-06
    4.62235665e+00    9.99876673e-01    4.96901405e-06    5.05688393e-06   -5.45764685e-05   -2.17469321e-06    2.99819949e-06    2.45354163e-06
    5.10875860e+00    9.99873698e-01    5.09278798e-06    5.15388304e-06   -5.58595836e-05   -2.16466205e-06    3.09571218e-06    2.56618843e-06
    5.61542731e+00    9.99870636e-01    5.21780176e-06    5.26426957e-06   -5.71971448e-05   -2.15718225e-06    3.20082141e-06    2.67275741e-06
    6.14320721e+00    9.99867483e-01    5.33991714e-06    5.39159023e-06   -5.85877513e-05   -2.14890084e-06    3.31236577e-06    2.77764703e-06
    6.69297793e+00    9.99864237e-01    5.46522227e-06    5.53309961e-06   -6.00301709e-05   -2.14158278e-06    3.42384773e-06    2.87944033e-06
    7.26565578e+00    9.99860893e-01    5.59426370e-06    5.68783233e-06   -6.15288700e-05   -2.13621253e-06    3.53567894e-06    2.97703017e-06
    7.86219520e+00    9.99857450e-01    5.72996730e-06    5.85001690e-06   -6.30872955e-05   -2.13222581e-06    3.64820948e-06    3.07152161e-06
    8.48359042e+00    9.99853903e-01    5.87585390e-06    6.02107148e-06   -6.47029101e-05   -2.13221705e-06    3.76278190e-06    3.16448491e-06
    9.13087712e+00    9.99850251e-01    6.03250474e-06    6.19911014e-06   -6.63750751e-05   -2.13481069e-06    3.87942287e-06    3.25699018e-06
    9.80513409e+00    9.99846491e-01    6.19752318e-06    6.38517568e-06   -6.81053634e-05   -2.14017208e-06    3.99715135e-06    3.35171361e-06
    1.05074851e+01    9.99842622e-01    6.37029307e-06    6.58025845e-06   -6.98953511e-05   -2.14798496e-06    4.11689020e-06    3.45014922e-06
    1.16049086e+01    9.99837000e-01    6.64141596e-06    6.88169417e-06   -7.26598321e-05   -2.16307806e-06    4.30046587e-06    3.60376061e-06
    1.27480580e+01    9.99831265e-01    6.92581177e-06    7.18990711e-06   -7.55090459e-05   -2.18155665e-06    4.48724688e-06    3.76203691e-06
    1.39388387e+01    9.99825419e-01    7.21950060e-06    7.50960386e-06   -7.84455456e-05   -2.20283324e-06    4.67708716e-06    3.92296084e-06
    1.51792352e+01    9.99819468e-01    7.52294893e-06    7.84279523e-06   -8.14714471e-05   -2.22922136e-06    4.87004847e-06    4.08640056e-06
    1.64713149e+01    9.99813418e-01    7.84028172e-06    8.18670427e-06   -8.45900161e-05   -2.26037724e-06    5.06654551e-06    4.25232353e-06
    1.78172313e+01    9.99807275e-01    8.16951285e-06    8.54439909e-06   -8.78013653e-05   -2.29592321e-06    5.26865439e-06    4.42137775e-06
