      # Time            Volume             Ee11              Ee22              Ee33              Ee23              Ee13              Ee12       
    1.92192275e+01    9.99801048e-01    8.50811154e-06    8.91739999e-06   -9.11055463e-05   -2.33320474e-06    5.47742721e-06    4.59443399e-06
    2.06796402e+01    9.99794747e-01    8.85606549e-06    9.30423304e-06   -9.45025076e-05   -2.37043985e-06    5.69129608e-06    4.77255684e-06
    2.29615351e+01    9.99786710e-01    9.39276142e-06    9.89123815e-06   -9.96988109e-05   -2.43252802e-06    6.01593018e-06    5.04716340e-06
    2.53385090e+01    9.99778825e-01    9.94641688e-06    1.04905200e-05   -1.05002561e-04   -2.50570360e-06    6.34447883e-06    5.32722859e-06
    2.78145234e+01    9.99771134e-01    1.05152441e-05    1.11055036e-05   -1.10405679e-04   -2.58576598e-06    6.67894424e-06    5.61460190e-06
    3.03937051e+01    9.99763684e-01    1.10933205e-05    1.17367441e-05   -1.15905928e-04   -2.67425246e-06    7.02209093e-06    5.90814193e-06
    3.30803527e+01    9.99756528e-01    1.16784322e-05    1.23800399e-05   -1.21503501e-04   -2.77475514e-06    7.37360988e-06    6.20587301e-06
    3.58789439e+01    9.99749723e-01    1.22695526e-05    1.30340906e-05   -1.27195449e-04   -2.88832657e-06    7.73161934e-06    6.50752194e-06
    3.87941431e+01    9.99743335e-01    1.28633599e-05    1.37006954e-05   -1.32972731e-04   -3.01141998e-06    8.09303691e-06    6.81191204e-06
    4.18308089e+01    9.99737432e-01    1.34602952e-05    1.43784426e-05   -1.38822837e-04   -3.13792231e-06    8.45676776e-06    7.12083388e-06
    4.49940025e+01    9.99732089e-01    1.40646528e-05    1.50661032e-05   -1.44742584e-04   -3.26570418e-06    8.82328157e-06    7.43390299e-06
    4.82889958e+01    9.99727392e-01    1.46769655e-05    1.57656544e-05   -1.50728304e-04   -3.39322385e-06    9.19404292e-06    7.75020299e-06
    5.17212805e+01    9.99723435e-01    1.52970740e-05    1.64730011e-05   -1.56774823e-04   -3.52335846e-06    9.56644717e-06    8.06398828e-06
    5.52965771e+01    9.99720318e-01    1.59266916e-05    1.71852474e-05   -1.62874685e-04   -3.66016630e-06    9.94002955e-06    8.37282317e-06
    5.90208444e+01    9.99718152e-01    1.65646582e-05    1.79060189e-05   -1.69013687e-04   -3.80458083e-06    1.03173698e-05    8.67565949e-06
    6.29002894e+01    9.99717059e-01    1.72102965e-05    1.86351206e-05   -1.75181973e-04   -3.95696233e-06    1.06961571e-05    8.97468857e-06
    6.69413780e+01    9.99717171e-01    1.78524393e-05    1.93774393e-05   -1.81371570e-04   -4.12242457e-06    1.10737605e-05    9.26983510e-06
    7.11508453e+01    9.99718632e-01    1.84842965e-05    2.01327626e-05   -1.87567339e-04   -4.30598276e-06    1.14453829e-05    9.55750222e-06
    7.55357071e+01    9.99721604e-01    1.91110865e-05    2.08966482e-05   -1.93757440e-04   -4.50100899e-06    1.18144157e-05    9.83398950e-06
    8.01032714e+01    9.99726262e-01    1.97353444e-05    2.16691496e-05   -1.99933975e-04   -4.72034147e-06    1.21783212e-05    1.01013466e-05
    8.48611510e+01    9.99732796e-01    2.03578597e-05    2.24645673e-05   -2.06075542e-04   -4.97059013e-06    1.25350620e-05    1.03631581e-05
    8.98172755e+01    9.99741417e-01    2.09792973e-05    2.32716938e-05   -2.12169539e-04   -5.24835180e-06    1.28802572e-05    1.06112252e-05
    9.49799051e+01    9.99752360e-01    2.15925564e-05    2.40963873e-05   -2.18210631e-04   -5.55622802e-06    1.32179025e-05    1.08463173e-05
    1.00357644e+02    9.99765879e-01    2.21916416e-05    2.49394085e-05   -2.24181472e-04   -5.88887813e-06    1.35474984e-05    1.10674413e-05
    1.05959456e+02    9.99782255e-01    2.27735551e-05    2.57971757e-05   -2.30074871e-04   -6.24634687e-06    1.38717431e-05    1.12646143e-05
    1.11794677e+02    9.99801800e-01    2.33358084e-05    2.66529312e-05   -2.35883521e-04   -6.62773237e-06    1.41825609e-05    1.14567370e-05
    1.17873031e+02    9.99824854e-01    2.38633226e-05    2.75054961e-05   -2.41600966e-04   -7.02035782e-06    1.44847908e-05    1.16546761e-05
    1.20000000e+02    9.99824800e-01    2.40370555e-05    2.78006827e-05   -2.43574276e-04   -7.15659410e-06    1.45902015e-05    1.17221246e-05
