      # Time            Volume             F11               F12               F13               F21               F22               F23               F31               F32               F33        
    5.00000000e-02    9.99984364e-01    1.00001650e+00    1.84982920e-07    5.66620597e-07    8.91682017e-08    1.00001787e+00    1.23796114e-06    1.77961123e-06   -2.55893657e-06    9.99950000e-01
    2.06250000e-01    9.99935759e-01    1.00006819e+00    7.08975750e-07    2.62792447e-06    3.42953820e-07    1.00007384e+00    5.25944604e-06    7.02180271e-06   -1.07466402e-05    9.99793750e-01
    4.50390625e-01    9.99909751e-01    1.00016716e+00    3.01526328e-06    1.78460623e-05    4.34670524e-06    1.00019312e+00    2.54847625e-05   -2.91102157e-08   -3.69871256e-05    9.99549610e-01
    6.41125488e-01    9.99905645e-01    1.00024951e+00    6.61894342e-06    2.67718113e-05    9.03779694e-06    1.00029755e+00    4.22326845e-05   -6.61482335e-06   -6.18594136e-05    9.99358875e-01
    8.39807638e-01    9.99903137e-01    1.00033553e+00    1.03818785e-05    3.15340367e-05    1.36450841e-05    1.00040792e+00    5.67418478e-05   -1.09181552e-05   -8.58909758e-05    9.99160194e-01
    1.04676821e+00    9.99901078e-01    1.00042474e+00    1.38097550e-05    3.35723602e-05    1.81509646e-05    1.00052392e+00    6.85541935e-05   -1.38021838e-05   -1.08727213e-04    9.98953233e-01
    1.26235214e+00    9.99899206e-01    1.00051727e+00    1.70494421e-05    3.35718206e-05    2.27657139e-05    1.00064548e+00    7.79603120e-05   -1.54694556e-05   -1.30380934e-04    9.98737650e-01
    1.48691873e+00    9.99897410e-01    1.00061346e+00    2.01692140e-05    3.20357903e-05    2.74307274e-05    1.00077254e+00    8.61288759e-05   -1.60345087e-05   -1.51796556e-04    9.98513083e-01
    1.72084227e+00    9.99895640e-01    1.00071359e+00    2.33040059e-05    2.97482888e-05    3.22377975e-05    1.00090514e+00    9.35922774e-05   -1.60129857e-05   -1.73218754e-04    9.98279160e-01
    2.08634779e+00    9.99893048e-01    1.00086999e+00    2.82391937e-05    2.54123093e-05    3.99215427e-05    1.00111274e+00    1.03792872e-04   -1.49950641e-05   -2.05042089e-04    9.97913655e-01
    2.46708271e+00    9.99890445e-01    1.00103259e+00    3.31814330e-05    2.06151321e-05    4.80440523e-05    1.00132962e+00    1.13622925e-04   -1.34964075e-05   -2.37187359e-04    9.97532920e-01
    2.86368158e+00    9.99887810e-01    1.00120156e+00    3.80233325e-05    1.58041863e-05    5.65950083e-05    1.00155626e+00    1.23208345e-04   -1.17662286e-05   -2.69879566e-04    9.97136322e-01
    3.27680541e+00    9.99885127e-01    1.00137720e+00    4.27791021e-05    1.11531480e-05    6.54972829e-05    1.00179304e+00    1.32915615e-04   -9.79505403e-06   -3.03535500e-04    9.96723199e-01
    3.70714273e+00    9.99882382e-01    1.00155997e+00    4.75143003e-05    6.36539450e-06    7.46789969e-05    1.00204022e+00    1.42977445e-04   -7.14972408e-06   -3.38322208e-04    9.96292862e-01
    4.15541077e+00    9.99879566e-01    1.00175020e+00    5.24039789e-05    1.46245442e-06    8.41695915e-05    1.00229819e+00    1.53342610e-04   -3.45448756e-06   -3.74285867e-04    9.95844595e-01
    4.62235665e+00    9.99876673e-01    1.00194826e+00    5.76153279e-05   -3.61998846e-06    9.39326232e-05    1.00256740e+00    1.63924811e-04    1.36271291e-06   -4.11505721e-04    9.95377649e-01
    5.10875860e+00    9.99873698e-01    1.00215448e+00    6.31792179e-05   -9.03371299e-06    1.03838676e-04    1.00284831e+00    1.74686008e-04    7.23915356e-06   -4.49801747e-04    9.94891248e-01
    5.61542731e+00    9.99870636e-01    1.00236925e+00    6.91109181e-05   -1.47443325e-05    1.13929562e-04    1.00314140e+00    1.85634851e-04    1.40823240e-05   -4.89170728e-04    9.94384580e-01
    6.14320721e+00    9.99867483e-01    1.00259295e+00    7.54585736e-05   -2.05709882e-05    1.24253162e-04    1.00344719e+00    1.96783084e-04    2.17294582e-05   -5.29657733e-04    9.93856801e-01
    6.69297793e+00    9.99864237e-01    1.00282596e+00    8.23770178e-05   -2.65151397e-05    1.34796429e-04    1.00376625e+00    2.08102258e-04    3.02373477e-05   -5.71246741e-04    9.93307031e-01
    7.26565578e+00    9.99860893e-01    1.00306879e+00    8.98551697e-05   -3.25553006e-05    1.45585674e-04    1.00409903e+00    2.19720593e-04    3.94773317e-05   -6.14217436e-04    9.92734354e-01
    7.86219520e+00    9.99857450e-01    1.00332195e+00    9.78606823e-05   -3.87700081e-05    1.56707143e-04    1.00444604e+00    2.31746310e-04    4.94344894e-05   -6.58715980e-04    9.92137816e-01
    8.48359042e+00    9.99853903e-01    1.00358586e+00    1.06348806e-04   -4.51639076e-05    1.68188044e-04    1.00480797e+00    2.44108334e-04    6.01087310e-05   -7.04798350e-04    9.91516422e-01
    9.13087712e+00    9.99850251e-01    1.00386094e+00    1.15264928e-04   -5.16299082e-05    1.79995958e-04    1.00518548e+00    2.56808901e-04    7.14078436e-05   -7.52679355e-04    9.90869136e-01
    9.80513409e+00    9.99846491e-01    1.00414778e+00    1.24583286e-04   -5.82164126e-05    1.92114403e-04    1.00557919e+00    2.69812982e-04    8.33074598e-05   -8.02405850e-04    9.90194881e-01
    1.05074851e+01    9.99842622e-01    1.00444691e+00    1.34282481e-04   -6.49752362e-05    2.04503541e-04    1.00598977e+00    2.83108295e-04    9.58299959e-05   -8.54045707e-04    9.89492531e-01
    1.16049086e+01    9.99837000e-01    1.00491499e+00    1.49429151e-04   -7.54447989e-05    2.23348064e-04    1.00663263e+00    3.03616548e-04    1.15672511e-04   -9.34745693e-04    9.88395110e-01
    1.27480580e+01    9.99831265e-01    1.00540327e+00    1.65415056e-04   -8.64152438e-05    2.42660712e-04    1.00730374e+00    3.25080005e-04    1.36715064e-04   -1.01919181e-03    9.87251963e-01
    1.39388387e+01    9.99825419e-01    1.00591275e+00    1.82431494e-04   -9.79421080e-05    2.62599520e-04    1.00800431e+00    3.47424597e-04    1.58934600e-04   -1.10731282e-03    9.86061185e-01
    1.51792352e+01    9.99819468e-01    1.00644441e+00    2.00407412e-04   -1.10147440e-04    2.83190522e-04    1.00873568e+00    3.70532555e-04    1.82417285e-04   -1.19900347e-03    9.84820791e-01
    1.64713149e+01    9.99813418e-01    1.00699916e+00    2.19290428e-04   -1.23043322e-04    3.04534938e-04    1.00949938e+00    3.94493910e-04    2.07202737e-04   -1.29444029e-03    9.83528714e-01
