      # Time            Volume             F11               F12               F13               F21               F22               F23               F31               F32               F33        
    1.78172313e+01    9.99807275e-01    1.00757802e+00    2.39024299e-04   -1.36701658e-04    3.26670658e-04    1.01029694e+00    4.19318585e-04    2.33437032e-04   -1.39380976e-03    9.82182801e-01
    1.92192275e+01    9.99801048e-01    1.00818212e+00    2.59543843e-04   -1.51188522e-04    3.49552663e-04    1.01112990e+00    4.45064061e-04    2.61263784e-04   -1.49739499e-03    9.80780809e-01
    2.06796402e+01    9.99794747e-01    1.00881268e+00    2.80876822e-04   -1.66613699e-04    3.73232305e-04    1.01199987e+00    4.71859027e-04    2.90807404e-04   -1.60564603e-03    9.79320400e-01
    2.29615351e+01    9.99786710e-01    1.00980088e+00    3.14334612e-04   -1.91705504e-04    4.09919626e-04    1.01336504e+00    5.14135167e-04    3.38927873e-04   -1.77669488e-03    9.77038511e-01
    2.53385090e+01    9.99778825e-01    1.01083363e+00    3.49118974e-04   -2.18775172e-04    4.48018693e-04    1.01479331e+00    5.58360276e-04    3.91334880e-04   -1.95645771e-03    9.74661543e-01
    2.78145234e+01    9.99771134e-01    1.01191343e+00    3.85136735e-04   -2.48080198e-04    4.87897874e-04    1.01628753e+00    6.04714511e-04    4.48314345e-04   -2.14560176e-03    9.72185536e-01
    3.03937051e+01    9.99763684e-01    1.01304280e+00    4.22406148e-04   -2.79841327e-04    5.29648084e-04    1.01785082e+00    6.53341582e-04    5.10008990e-04   -2.34460567e-03    9.69606362e-01
    3.30803527e+01    9.99756528e-01    1.01422425e+00    4.60775181e-04   -3.14187385e-04    5.73243267e-04    1.01948668e+00    7.04231773e-04    5.76475022e-04   -2.55360288e-03    9.66919722e-01
    3.58789439e+01    9.99749723e-01    1.01546035e+00    5.00035848e-04   -3.51375836e-04    6.18644934e-04    1.02119887e+00    7.57658516e-04    6.47874970e-04   -2.77339759e-03    9.64121140e-01
    3.87941431e+01    9.99743335e-01    1.01675358e+00    5.40091701e-04   -3.92081381e-04    6.66064860e-04    1.02299160e+00    8.13553747e-04    7.24186285e-04   -3.00442276e-03    9.61205949e-01
    4.18308089e+01    9.99737432e-01    1.01810684e+00    5.80515421e-04   -4.36695463e-04    7.15420929e-04    1.02486906e+00    8.72361332e-04    8.05481586e-04   -3.24780879e-03    9.58169293e-01
    4.49940025e+01    9.99732089e-01    1.01952335e+00    6.20891089e-04   -4.85467867e-04    7.66853113e-04    1.02683557e+00    9.34171084e-04    8.91959331e-04   -3.50433625e-03    9.55006110e-01
    4.82889958e+01    9.99727392e-01    1.02100619e+00    6.60845408e-04   -5.38805201e-04    8.20407551e-04    1.02889603e+00    9.99245422e-04    9.83752446e-04   -3.77525089e-03    9.51711127e-01
    5.17212805e+01    9.99723435e-01    1.02255869e+00    7.00264016e-04   -5.96954610e-04    8.76280887e-04    1.03105561e+00    1.06783183e-03    1.08086936e-03   -4.06172413e-03    9.48278853e-01
    5.52965771e+01    9.99720318e-01    1.02418452e+00    7.39089479e-04   -6.60146928e-04    9.34478380e-04    1.03331965e+00    1.13994335e-03    1.18441931e-03   -4.36486603e-03    9.44703567e-01
    5.90208444e+01    9.99718152e-01    1.02588689e+00    7.77028643e-04   -7.29508639e-04    9.94897989e-04    1.03569449e+00    1.21536374e-03    1.29680388e-03   -4.68562049e-03    9.40979311e-01
    6.29002894e+01    9.99717059e-01    1.02766927e+00    8.13905598e-04   -8.05715808e-04    1.05775290e-03    1.03818688e+00    1.29382168e-03    1.41992010e-03   -5.02439897e-03    9.37099877e-01
    6.69413780e+01    9.99717171e-01    1.02953655e+00    8.49871468e-04   -8.88906832e-04    1.12337503e-03    1.04080274e+00    1.37568572e-03    1.55325526e-03   -5.38285720e-03    9.33058799e-01
    7.11508453e+01    9.99718632e-01    1.03149291e+00    8.85141477e-04   -9.79232455e-04    1.19164581e-03    1.04354945e+00    1.46131487e-03    1.69594115e-03   -5.76371076e-03    9.28849343e-01
    7.55357071e+01    9.99721604e-01    1.03354315e+00    9.19674343e-04   -1.07615904e-03    1.26268031e-03    1.04643456e+00    1.55023978e-03    1.84776622e-03   -6.16873059e-03    9.24464492e-01
    8.01032714e+01    9.99726262e-01    1.03569304e+00    9.53355596e-04   -1.17953241e-03    1.33704496e-03    1.04946553e+00    1.64249241e-03    2.00932452e-03   -6.59853083e-03    9.19896937e-01
    8.48611510e+01    9.99732796e-01    1.03794788e+00    9.85506347e-04   -1.28996596e-03    1.41482619e-03    1.05265116e+00    1.73854505e-03    2.18119754e-03   -7.05448490e-03    9.15139066e-01
    8.98172755e+01    9.99741417e-01    1.04031329e+00    1.01523030e-03   -1.40858835e-03    1.49557814e-03    1.05600097e+00    1.83816020e-03    2.36565805e-03   -7.53672090e-03    9.10182950e-01
    9.49799051e+01    9.99752360e-01    1.04279632e+00    1.04188740e-03   -1.53564613e-03    1.57889382e-03    1.05952412e+00    1.94077088e-03    2.56413533e-03   -8.04599932e-03    9.05020327e-01
    1.00357644e+02    9.99765879e-01    1.04540443e+00    1.06439987e-03   -1.67123281e-03    1.66320028e-03    1.06323046e+00    2.04703703e-03    2.77979383e-03   -8.58406368e-03    8.99642594e-01
    1.05959456e+02    9.99782255e-01    1.04814666e+00    1.08172041e-03   -1.81480613e-03    1.74600716e-03    1.06712957e+00    2.15641487e-03    3.01385434e-03   -9.15192102e-03    8.94040785e-01
    1.11794677e+02    9.99801800e-01    1.05103302e+00    1.09343125e-03   -1.96561201e-03    1.82707126e-03    1.07123155e+00    2.26809865e-03    3.26481031e-03   -9.75025138e-03    8.88205565e-01
    1.17873031e+02    9.99824854e-01    1.05407296e+00    1.09847101e-03   -2.12199027e-03    1.90645318e-03    1.07554859e+00    2.38108335e-03    3.53299508e-03   -1.03798473e-02    8.82127207e-01
    1.20000000e+02    9.99824800e-01    1.05514085e+00    1.09929381e-03   -2.17638012e-03    1.93348929e-03    1.07706464e+00    2.42027069e-03    3.62769437e-03   -1.06011240e-02    8.80000244e-01
