      # Time            Volume             E11               E22               E33               E23               E13               E12        
    2.78145234e+01    9.99771134e-01    1.17036955e-02    1.58988646e-02   -2.90204689e-02   -7.53757608e-04    9.62828017e-05    4.18351531e-04
    3.03937051e+01    9.99763684e-01    1.27918053e-02    1.73849073e-02   -3.18388177e-02   -8.25797081e-04    1.10312110e-04    4.54365115e-04
    3.30803527e+01    9.99756528e-01    1.39261974e-02    1.89326348e-02   -3.47986323e-02   -9.01260997e-04    1.25256115e-04    4.91387720e-04
    3.58789439e+01    9.99749723e-01    1.51088253e-02    2.05446332e-02   -3.79081429e-02   -9.80359175e-04    1.41036235e-04    5.29261363e-04
    3.87941431e+01    9.99743335e-01    1.63415053e-02    2.22238035e-02   -4.11761640e-02   -1.06328967e-03    1.57254425e-04    5.67997988e-04
    4.18308089e+01    9.99737432e-01    1.76263784e-02    2.39729262e-02   -4.46121455e-02   -1.15032116e-03    1.73701629e-04    6.07312775e-04
    4.49940025e+01    9.99732089e-01    1.89658305e-02    2.57947542e-02   -4.82262305e-02   -1.24172768e-03    1.90300654e-04    6.47032284e-04
    4.82889958e+01    9.99727392e-01    2.03620452e-02    2.76924574e-02   -5.20293177e-02   -1.33791303e-03    2.06849939e-04    6.86958773e-04
    5.17212805e+01    9.99723435e-01    2.18173489e-02    2.96692848e-02   -5.60331315e-02   -1.43924155e-03    2.23162826e-04    7.27084226e-04
    5.52965771e+01    9.99720318e-01    2.33343157e-02    3.17284652e-02   -6.02503008e-02   -1.54616404e-03    2.39607960e-04    7.67334305e-04
    5.90208444e+01    9.99718152e-01    2.49149948e-02    3.38739707e-02   -6.46944449e-02   -1.65916223e-03    2.56705267e-04    8.07473767e-04
    6.29002894e+01    9.99717059e-01    2.65615626e-02    3.61098959e-02   -6.93802691e-02   -1.77847633e-03    2.74949596e-04    8.47466105e-04
    6.69413780e+01    9.99717171e-01    2.82774223e-02    3.84393740e-02   -7.43236738e-02   -1.90460528e-03    2.93901546e-04    8.87473390e-04
    7.11508453e+01    9.99718632e-01    3.00651669e-02    4.08665978e-02   -7.95418798e-02   -2.03855423e-03    3.12922648e-04    9.27474204e-04
    7.55357071e+01    9.99721604e-01    3.19278384e-02    4.33956327e-02   -8.50535658e-02   -2.18130482e-03    3.32078059e-04    9.67434664e-04
    8.01032714e+01    9.99726262e-01    3.38691933e-02    4.60301522e-02   -9.08790086e-02   -2.33297964e-03    3.51619407e-04    1.00748364e-03
    8.48611510e+01    9.99732796e-01    3.58924137e-02    4.87746716e-02   -9.70402612e-02   -2.49380407e-03    3.71338780e-04    1.04728100e-03
    8.98172755e+01    9.99741417e-01    3.80007500e-02    5.16339692e-02   -1.03561348e-01   -2.66376775e-03    3.91557343e-04    1.08616217e-03
    9.49799051e+01    9.99752360e-01    4.01985513e-02    5.46120891e-02   -1.10468497e-01   -2.84335204e-03    4.12645205e-04    1.12360658e-03
    1.00357644e+02    9.99765879e-01    4.24902777e-02    5.77132522e-02   -1.17790379e-01   -3.03279936e-03    4.35913503e-04    1.15841702e-03
    1.05959456e+02    9.99782255e-01    4.48815040e-02    6.09409949e-02   -1.25558405e-01   -3.23266267e-03    4.62033146e-04    1.18906121e-03
    1.11794677e+02    9.99801800e-01    4.73782855e-02    6.42988075e-02   -1.33807048e-01   -3.44347656e-03    4.90407278e-04    1.21527890e-03
    1.17873031e+02    9.99824854e-01    4.99858553e-02    6.77913579e-02   -1.42574226e-01   -3.66593545e-03    5.21915334e-04    1.23669046e-03
    1.20000000e+02    9.99824800e-01    5.08965215e-02    6.90079394e-02   -1.45685097e-01   -3.74396453e-03    5.33117665e-04    1.24332915e-03
