      # Time            Volume             Sxx               Syy               Szz               Sxy               Sxz               Syz        
    5.00000000e-02    9.99984364e-01   -1.17286159e-11   -1.19304241e-11   -6.43018930e-03    1.00328942e-13   -2.17874083e-14    7.09617246e-14
    2.06250000e-01    9.99935759e-01   -1.31670047e-10   -5.21193558e-10   -2.64245624e-02    4.93367045e-11    1.26785759e-10    6.96794602e-11
    4.50390625e-01    9.99909751e-01   -1.94003027e-09    5.99584187e-10   -3.71387594e-02   -7.15524599e-10    5.76057152e-10   -4.34355708e-10
    6.41125488e-01    9.99905645e-01   -7.37240254e-10   -1.18796608e-09   -3.88392983e-02   -4.87786742e-11   -5.13311427e-10    1.98904186e-10
    8.39807638e-01    9.99903137e-01    1.87417892e-14   -3.58427812e-11   -3.98838238e-02   -7.09257282e-11   -4.71687096e-11    6.90440160e-13
    1.04676821e+00    9.99901078e-01   -5.91699105e-12   -2.06183075e-11   -4.07446049e-02   -6.31761049e-11   -4.75040286e-12   -2.97275779e-13
    1.26235214e+00    9.99899206e-01   -2.20925937e-12   -3.73258914e-12   -4.15297061e-02   -1.61436408e-11   -5.67324342e-12   -1.70517899e-13
    1.48691873e+00    9.99897410e-01   -2.17896218e-12   -2.97932324e-12   -4.22848079e-02   -1.20735804e-11   -1.28003166e-12    1.38029994e-13
    1.72084227e+00    9.99895640e-01   -6.89812359e-10   -5.60776275e-10   -4.30303950e-02   -1.38265560e-09   -3.63552605e-10   -4.36119920e-11
    2.08634779e+00    9.99893048e-01    2.21002118e-13   -1.25316600e-12   -4.41400204e-02   -7.93220449e-12   -4.46846373e-12   -1.33110330e-12
    2.46708271e+00    9.99890445e-01    1.68828021e-12   -1.40362850e-12   -4.52577035e-02   -6.32225364e-12   -2.46245782e-12   -4.40985258e-13
    2.86368158e+00    9.99887810e-01   -1.39776424e-12   -2.13732926e-12   -4.63925807e-02   -9.55895417e-12    5.99257288e-12    8.73918280e-13
    3.27680541e+00    9.99885127e-01    7.98250464e-13   -1.17957844e-12   -4.75515736e-02   -2.78961266e-12    1.18580741e-12    2.33088054e-13
    3.70714273e+00    9.99882382e-01    1.77132713e-12   -4.84099568e-13   -4.87409397e-02   -3.55522264e-12   -5.15533799e-12   -6.46977059e-13
    4.15541077e+00    9.99879566e-01    1.76159291e-12    5.11906476e-13   -4.99642706e-02   -2.01453370e-12   -7.27217063e-12   -7.08641578e-13
    4.62235665e+00    9.99876673e-01   -2.04605239e-14   -3.31793828e-13   -5.12249262e-02   -5.53037054e-12   -6.53180468e-12   -8.94027278e-13
    5.10875860e+00    9.99873698e-01   -8.44477917e-13   -1.10263464e-12   -5.25252424e-02   -8.36504528e-12   -6.63104675e-12   -9.33028059e-13
    5.61542731e+00    9.99870636e-01   -1.53134378e-12   -1.26531074e-12   -5.38679544e-02   -8.99067573e-12   -4.32678574e-12   -6.70212765e-13
    6.14320721e+00    9.99867483e-01   -2.08900058e-12   -1.45400626e-12   -5.52552188e-02   -1.13938649e-11   -4.12250369e-12   -5.25344129e-13
    6.69297793e+00    9.99864237e-01   -1.39112172e-12   -1.02025900e-12   -5.66886689e-02   -1.04169559e-11   -5.68993449e-12   -8.97989848e-14
    7.26565578e+00    9.99860893e-01   -4.29781148e-14   -7.42368567e-13   -5.81705456e-02   -5.07064299e-12   -2.62252972e-12    4.81626045e-13
    7.86219520e+00    9.99857450e-01    2.41572535e-13   -4.79388453e-13   -5.97028225e-02   -4.67576045e-12   -3.31190202e-12    8.33292106e-13
    8.48359042e+00    9.99853903e-01    3.25356378e-13   -1.14870438e-13   -6.12872695e-02   -4.79068315e-12   -2.82100198e-12    1.44096315e-13
    9.13087712e+00    9.99850251e-01    2.28509742e-13   -6.57441013e-13   -6.29259516e-02   -4.25444713e-12    1.65342557e-12    6.50833383e-13
    9.80513409e+00    9.99846491e-01   -1.71934270e-12   -1.06178272e-12   -6.46206684e-02   -5.58448626e-12    4.94468003e-12    5.62488821e-13
    1.05074851e+01    9.99842622e-01   -7.00428033e-11    1.58109694e-11   -6.63730805e-02   -1.86242102e-10    1.85696241e-10    8.61639787e-11
    1.16049086e+01    9.99837000e-01    1.47367541e-12   -3.10068713e-12   -6.90793921e-02    8.33668133e-13    9.14918455e-12    1.88116001e-12
    1.27480580e+01    9.99831265e-01    1.08421175e-12   -3.51651138e-12   -7.18666670e-02   -2.55644026e-12    5.77660122e-12   -2.13599800e-13
    1.39388387e+01    9.99825419e-01   -6.12159934e-12   -7.37818146e-12   -7.47368079e-02   -1.50561034e-11    6.75330759e-12   -7.46131449e-13
    1.51792352e+01    9.99819468e-01   -1.30420749e-11   -1.11497395e-11   -7.76910305e-02   -3.14989588e-11    4.82083847e-12   -1.59546114e-13
    1.64713149e+01    9.99813418e-01   -9.42791593e-12   -3.69788044e-12   -8.07303410e-02   -1.94953774e-11    9.61689624e-12    2.85848761e-12
    1.78172313e+01    9.99807275e-01   -9.00013358e-12   -4.99864711e-12   -8.38559249e-02   -2.23459563e-11    7.88442723e-12    4.90210025e-12
    1.92192275e+01    9.99801048e-01   -8.70483291e-12   -2.51554705e-12   -8.70686865e-02   -2.40209269e-11    2.76077143e-12    4.28414893e-12
    2.06796402e+01    9.99794747e-01    7.84451786e-11    8.01901394e-10   -9.03694378e-02    3.39892371e-10   -2.60719318e-11    5.42923357e-10
    2.29615351e+01    9.99786710e-01    8.77176380e-11    7.09938653e-11   -9.54120787e-02    4.37145286e-11    1.31256018e-11    4.32982796e-11
    2.53385090e+01    9.99778825e-01    9.91060940e-11    9.85591557e-11   -1.00548320e-01    4.29676758e-11    2.00240588e-12    6.02109969e-11
    2.78145234e+01    9.99771134e-01    1.43048946e-10    1.23149298e-10   -1.05775544e-01    5.97915596e-11   -7.82846626e-11    3.87101228e-11
    3.03937051e+01    9.99763684e-01    1.67614186e-10    1.31252038e-10   -1.11090209e-01    7.83870502e-11   -1.23036631e-10    3.08544861e-11
    3.30803527e+01    9.99756528e-01    2.08156475e-10    1.72523338e-10   -1.16488028e-01    8.66937972e-11   -1.25607737e-10    3.06951550e-11
    3.58789439e+01    9.99749723e-01    2.78907322e-10    2.55941455e-10   -1.21963986e-01    1.31478808e-10   -1.28706271e-10    3.99589020e-11
    3.87941431e+01    9.99743335e-01    3.49633346e-10    2.70724070e-10   -1.27512579e-01    2.01401728e-10   -1.54499633e-10    1.70643596e-11
    4.18308089e+01    9.99737432e-01    4.68634186e-10    3.37594960e-10   -1.33128321e-01    2.35719142e-10   -2.47509754e-10   -6.46898327e-12
    4.49940025e+01    9.99732089e-01    5.07668365e-10    3.15035690e-10   -1.38805414e-01    1.72474078e-10   -2.16838676e-10    1.90684497e-11
    4.82889958e+01    9.99727392e-01    7.35462985e-10    4.31647827e-10   -1.44537089e-01    2.84316929e-10   -1.67941482e-10    2.65865942e-11
    5.17212805e+01    9.99723435e-01    1.09079124e-09    5.80868299e-10   -1.50315593e-01    4.23658774e-10   -1.93348712e-10    3.65591468e-11
    5.52965771e+01    9.99720318e-01    1.46711857e-09    7.33191182e-10   -1.56132682e-01    4.24256616e-10   -5.98921237e-10    3.12932725e-12
    5.90208444e+01    9.99718152e-01    1.89869192e-09    1.00389909e-09   -1.61979958e-01    2.76256676e-10   -1.00510360e-09   -4.61570026e-11
    6.29002894e+01    9.99717059e-01    2.27284032e-09    1.28494451e-09   -1.67848590e-01    2.00673837e-10   -1.44117629e-09   -3.46606184e-11
    6.69413780e+01    9.99717171e-01    2.72653954e-09    1.31252295e-09   -1.73728204e-01    2.74353395e-10   -1.15776538e-09   -2.79672505e-12
    7.11508453e+01    9.99718632e-01    2.84397144e-09    1.09278902e-09   -1.79608945e-01    5.74771895e-10   -4.99280286e-10    1.20789071e-10
    7.55357071e+01    9.99721604e-01    2.98811415e-09    7.52384967e-10   -1.85480230e-01    6.66017962e-10   -3.03313805e-11    1.67221152e-10
    8.01032714e+01    9.99726262e-01    3.17104579e-09    4.13741525e-10   -1.91332020e-01   -5.99919753e-12    7.69955055e-11   -2.09739159e-11
