      # Time            Volume         Plastic_Work   
    5.00000000e-02    9.99984364e-01    1.79635968e-37
    2.06250000e-01    9.99935759e-01    2.01544672e-08
    4.50390625e-01    9.99909751e-01    5.46566788e-06
    6.41125488e-01    9.99905645e-01    1.20034931e-05
    8.39807638e-01    9.99903137e-01    1.92938619e-05
    1.04676821e+00    9.99901078e-01    2.71689233e-05
    1.26235214e+00    9.99899206e-01    3.55964835e-05
    1.48691873e+00    9.99897410e-01    4.45747585e-05
    1.72084227e+00    9.99895640e-01    5.41203773e-05
    2.08634779e+00    9.99893048e-01    6.94553337e-05
    2.46708271e+00    9.99890445e-01    8.58616868e-05
    2.86368158e+00    9.99887810e-01    1.03406869e-04
    3.27680541e+00    9.99885127e-01    1.22164342e-04
    3.70714273e+00    9.99882382e-01    1.42211750e-04
    4.15541077e+00    9.99879566e-01    1.63637782e-04
    4.62235665e+00    9.99876673e-01    1.86538012e-04
    5.10875860e+00    9.99873698e-01    2.11018152e-04
    5.61542731e+00    9.99870636e-01    2.37189991e-04
    6.14320721e+00    9.99867483e-01    2.65175178e-04
    6.69297793e+00    9.99864237e-01    2.95107501e-04
    7.26565578e+00    9.99860893e-01    3.27127855e-04
    7.86219520e+00    9.99857450e-01    3.61388187e-04
    8.48359042e+00    9.99853903e-01    3.98052962e-04
    9.13087712e+00    9.99850251e-01    4.37297326e-04
    9.80513409e+00    9.99846491e-01    4.79310539e-04
    1.05074851e+01    9.99842622e-01    5.24296950e-04
    1.16049086e+01    9.99837000e-01    5.97543522e-04
    1.27480580e+01    9.99831265e-01    6.77021164e-04
    1.39388387e+01    9.99825419e-01    7.63226334e-04
    1.51792352e+01    9.99819468e-01    8.56698090e-04
    1.64713149e+01    9.99813418e-01    9.58019410e-04
    1.78172313e+01    9.99807275e-01    1.06781389e-03
    1.92192275e+01    9.99801048e-01    1.18675185e-03
    2.06796402e+01    9.99794747e-01    1.31555213e-03
    2.29615351e+01    9.99786710e-01    1.52859490e-03
    2.53385090e+01    9.99778825e-01    1.76311397e-03
    2.78145234e+01    9.99771134e-01    2.02084751e-03
    3.03937051e+01    9.99763684e-01    2.30365528e-03
    3.30803527e+01    9.99756528e-01    2.61353217e-03
    3.58789439e+01    9.99749723e-01    2.95261775e-03
    3.87941431e+01    9.99743335e-01    3.32320154e-03
    4.18308089e+01    9.99737432e-01    3.72770751e-03
    4.49940025e+01    9.99732089e-01    4.16870448e-03
    4.82889958e+01    9.99727392e-01    4.64893196e-03
    5.17212805e+01    9.99723435e-01    5.17131789e-03
    5.52965771e+01    9.99720318e-01    5.73897968e-03
    5.90208444e+01    9.99718152e-01    6.35522166e-03
    6.29002894e+01    9.99717059e-01    7.02354560e-03
    6.69413780e+01    9.99717171e-01    7.74769081e-03
    7.11508453e+01    9.99718632e-01    8.53159448e-03
    7.55357071e+01    9.99721604e-01    9.37942579e-03
    8.01032714e+01    9.99726262e-01    1.02955630e-02
    8.48611510e+01    9.99732796e-01    1.12846370e-02
    8.98172755e+01    9.99741417e-01    1.23515215e-02
    9.49799051e+01    9.99752360e-01    1.35014301e-02
    1.00357644e+02    9.99765879e-01    1.47399305e-02
    1.05959456e+02    9.99782255e-01    1.60729388e-02
    1.11794677e+02    9.99801800e-01    1.75065822e-02
    1.17873031e+02    9.99824854e-01    1.90473159e-02
    1.20000000e+02    9.99824800e-01    1.95920945e-02
