      # Time            Volume             Sxx               Syy               Szz               Sxy               Sxz               Syz        
    5.00000000e-05    9.99998436e-01   -1.15438016e-14   -1.17951784e-14   -6.42983008e-04    4.06656919e-16    8.21398965e-16    8.86975495e-17
    2.06250000e-04    9.99993550e-01   -4.25634510e-13   -4.29366326e-13   -2.65234750e-03    1.27395729e-14   -1.92240117e-14    3.04365975e-15
    6.94531250e-04    9.99978280e-01   -1.36294679e-11   -1.37292789e-11   -8.93202744e-03    4.55870714e-13   -7.35919466e-13    1.03603043e-13
    2.22041016e-03    9.99930760e-01   -7.07067300e-11   -2.80658159e-10   -2.84803206e-02    3.69802595e-11    1.18577358e-10    5.11152472e-11
    4.60459595e-03    9.99901977e-01   -9.66715638e-10    3.94276702e-10   -4.03351500e-02   -4.63152398e-10    2.99332068e-10   -3.15202359e-12
    6.46724110e-03    9.99897218e-01   -3.56309221e-10   -1.39719952e-09   -4.23034880e-02   -1.56516319e-11   -2.78544897e-10    5.76434479e-10
    8.40749646e-03    9.99894393e-01   -2.78702908e-12   -2.14243516e-11   -4.34777055e-02   -1.32028160e-11   -4.90680293e-11   -4.09336434e-13
    1.04285958e-02    9.99892111e-01   -1.35196247e-12   -1.28748833e-11   -4.44292269e-02   -3.98153471e-11   -1.58125351e-11    6.14934554e-13
    1.25339076e-02    9.99890059e-01   -2.71489557e-12   -5.53343022e-12   -4.52877602e-02   -2.27315198e-11   -3.93802528e-12    5.26102204e-13
    1.47269407e-02    9.99888107e-01   -1.23466878e-09   -1.32690472e-09   -4.61060975e-02   -2.05351296e-09   -1.56505680e-09   -1.71568762e-12
    1.81535550e-02    9.99885307e-01   -6.51200170e-12   -5.04687393e-12   -4.72959467e-02   -2.46007635e-11   -9.73838949e-12    5.44202033e-13
    2.17229449e-02    9.99882544e-01   -2.28413686e-12   -2.15040129e-12   -4.84740811e-02   -1.12793016e-11   -2.65352514e-12   -4.18627943e-13
    2.54410593e-02    9.99879766e-01    1.29257591e-12   -9.80421311e-13   -4.96616380e-02   -5.05913767e-12   -2.54979330e-12   -6.99517279e-13
    2.93140952e-02    9.99876947e-01   -2.23000299e-12   -4.80897131e-12   -5.08699810e-02   -1.24177098e-11    5.14419101e-12    7.41433851e-13
    3.33485076e-02    9.99874073e-01    1.28936548e-13   -1.17013103e-12   -5.21047295e-02   -4.80590390e-12    4.71718792e-12    3.32816815e-13
    3.75510205e-02    9.99871132e-01    1.17996715e-12   -1.02364533e-12   -5.33718859e-02   -2.07663173e-12   -1.28745352e-12   -8.83998085e-14
    4.19286381e-02    9.99868113e-01    1.44124691e-12   -3.89201441e-13   -5.46759754e-02   -3.22302223e-12   -5.48559591e-12   -5.57536869e-13
