      # Time            Volume             E11               E22               E33               E23               E13               E12        
    5.00000000e-05    1.00000156e+00   -1.64987386e-06   -1.78644680e-06    4.99996259e-06    6.60489760e-08   -1.17310942e-07   -1.37067125e-08
    2.06250000e-04    1.00000645e+00   -6.80567452e-06   -7.36903992e-06    2.06243634e-05    2.72452079e-07   -4.83901329e-07   -5.65402321e-08
    6.94531250e-04    1.00002172e+00   -2.29170130e-05   -2.48141246e-05    6.94459068e-05    9.17462289e-07   -1.62943467e-06   -1.90395397e-07
    2.22041016e-03    1.00006925e+00   -7.33503261e-05   -7.94272245e-05    2.21967260e-04    2.94980399e-06   -5.19446856e-06   -5.72612240e-07
    4.60459595e-03    1.00009813e+00   -1.68812021e-04   -1.93473291e-04    4.60142773e-04    5.62627098e-06   -9.51151943e-06   -3.41084185e-06
    6.46724110e-03    1.00010295e+00   -2.48878741e-04   -2.94824866e-04    6.46099195e-04    9.45377475e-06   -1.08886313e-05   -7.33255158e-06
    8.40749646e-03    1.00010584e+00   -3.32779773e-04   -4.02030070e-04    8.39693377e-04    1.38848305e-05   -1.14289046e-05   -1.15648074e-05
    1.04285958e-02    1.00010819e+00   -4.19792901e-04   -5.14743202e-04    1.04123413e-03    1.90424059e-05   -1.12815085e-05   -1.55843789e-05
    1.25339076e-02    1.00011031e+00   -5.10034573e-04   -6.32868791e-04    1.25104238e-03    2.48202492e-05   -1.06769358e-05   -1.95164207e-05
    1.47269407e-02    1.00011233e+00   -6.03722672e-04   -7.56410373e-04    1.46945165e-03    3.11346796e-05   -9.78322728e-06   -2.34624687e-05
    1.81535550e-02    1.00011532e+00   -7.49749610e-04   -9.49982071e-04    1.81042852e-03    4.12620011e-05   -8.23780007e-06   -2.93494904e-05
    2.17229449e-02    1.00011828e+00   -9.01794636e-04   -1.15182362e-03    2.16524049e-03    5.17430142e-05   -6.67568858e-06   -3.55422511e-05
    2.54410593e-02    1.00012127e+00   -1.05987183e-03   -1.36246357e-03    2.53443295e-03    6.25424325e-05   -5.12920050e-06   -4.19523679e-05
    2.93140952e-02    1.00012432e+00   -1.22415325e-03   -1.58232133e-03    2.91857147e-03    7.37056757e-05   -3.65293901e-06   -4.85468887e-05
    3.33485076e-02    1.00012744e+00   -1.39479991e-03   -1.81186674e-03    3.31824235e-03    8.52342734e-05   -2.35017674e-06   -5.52680712e-05
    3.75510205e-02    1.00013065e+00   -1.57220560e-03   -2.05136186e-03    3.73405340e-03    9.71713419e-05   -1.23437065e-06   -6.21038768e-05
    4.19286381e-02    1.00013395e+00   -1.75672120e-03   -2.30114377e-03    4.16663445e-03    1.09477481e-04   -3.99120510e-07   -6.91034628e-05
    4.64886564e-02    1.00013736e+00   -1.94869165e-03   -2.56158783e-03    4.61663805e-03    1.22194178e-04    1.08288760e-08   -7.63386823e-05
    5.12386755e-02    1.00014089e+00   -2.14844224e-03   -2.83311982e-03    5.08474013e-03    1.35378338e-04   -1.99053655e-08   -8.38608359e-05
    5.61866121e-02    1.00014454e+00   -2.35627013e-03   -3.11622744e-03    5.57164073e-03    1.48975529e-04   -4.08495423e-07   -9.16896645e-05
    6.13407126e-02    1.00014832e+00   -2.57251101e-03   -3.41139085e-03    6.07806462e-03    1.62951588e-04   -1.12468231e-06   -9.97626983e-05
    6.67095674e-02    1.00015223e+00   -2.79748808e-03   -3.71913846e-03    6.60476195e-03    1.77339898e-04   -2.16330771e-06   -1.08061775e-04
    7.23021245e-02    1.00015628e+00   -3.03155481e-03   -4.04000415e-03    7.15250901e-03    1.92126989e-04   -3.52830598e-06   -1.16629588e-04
    7.81277047e-02    1.00016048e+00   -3.27513057e-03   -4.37449280e-03    7.72210878e-03    2.07357729e-04   -5.21461864e-06   -1.25495637e-04
    8.41960175e-02    1.00016483e+00   -3.52875181e-03   -4.72303011e-03    8.31439172e-03    2.23065438e-04   -7.20619744e-06   -1.34690489e-04
    9.05171766e-02    1.00016934e+00   -3.79297412e-03   -5.08606342e-03    8.93021640e-03    2.39274052e-04   -9.49266217e-06   -1.44204800e-04
    1.00393988e-01    1.00017658e+00   -4.20570853e-03   -5.65319501e-03    9.89012715e-03    2.64397013e-04   -1.34744940e-05   -1.58920414e-04
    1.10682333e-01    1.00018407e+00   -4.63546601e-03   -6.24414279e-03    1.08870420e-02    2.90436163e-04   -1.79869903e-05   -1.74029150e-04
    1.21399359e-01    1.00019182e+00   -5.08280826e-03   -6.86004632e-03    1.19222615e-02    3.17457565e-04   -2.30142035e-05   -1.89516956e-04
    1.32562927e-01    1.00019984e+00   -5.54840486e-03   -7.50200843e-03    1.29971214e-02    3.45434766e-04   -2.86303191e-05   -2.05463478e-04
    1.44191645e-01    1.00020813e+00   -6.03303614e-03   -8.17109425e-03    1.41129932e-02    3.74307158e-04   -3.48520603e-05   -2.21938901e-04
    1.56304892e-01    1.00021672e+00   -6.53744375e-03   -8.86848625e-03    1.52712835e-02    4.04025594e-04   -4.16374267e-05   -2.38970207e-04
    1.68922858e-01    1.00022560e+00   -7.06237576e-03   -9.59544035e-03    1.64734340e-02    4.34687054e-04   -4.88891360e-05   -2.56649212e-04
    1.82066573e-01    1.00023479e+00   -7.60869260e-03   -1.03531820e-02    1.77209214e-02    4.66436817e-04   -5.64706471e-05   -2.75004811e-04
    1.95757942e-01    1.00024429e+00   -8.17718209e-03   -1.11430991e-02    1.90152571e-02    4.99287695e-04   -6.44165823e-05   -2.94066905e-04
    2.10019785e-01    1.00025412e+00   -8.76860319e-03   -1.19667006e-02    2.03579865e-02    5.33236664e-04   -7.28899109e-05   -3.13857860e-04
    2.24875872e-01    1.00026429e+00   -9.38387080e-03   -1.28254315e-02    2.17506886e-02    5.68306306e-04   -8.20021324e-05   -3.34377499e-04
    2.40350962e-01    1.00027479e+00   -1.00238994e-02   -1.37208358e-02    2.31949751e-02    6.04526527e-04   -9.18121604e-05   -3.55630525e-04
    2.56470847e-01    1.00028566e+00   -1.06897240e-02   -1.46544384e-02    2.46924893e-02    6.41934801e-04   -1.02319367e-04   -3.77604517e-04
    2.73262395e-01    1.00029689e+00   -1.13824207e-02   -1.56278303e-02    2.62449049e-02    6.80595074e-04   -1.13547817e-04   -4.00281506e-04
    2.90753590e-01    1.00030849e+00   -1.21031382e-02   -1.66426420e-02    2.78539249e-02    7.20624864e-04   -1.25562959e-04   -4.23641530e-04
    3.08973585e-01    1.00032048e+00   -1.28530455e-02   -1.77005996e-02    2.95212797e-02    7.62156619e-04   -1.38388340e-04   -4.47692314e-04
    3.27952746e-01    1.00033288e+00   -1.36333532e-02   -1.88035096e-02    3.12487258e-02    8.05249365e-04   -1.52024568e-04   -4.72520240e-04
    3.47722706e-01    1.00034568e+00   -1.44453625e-02   -1.99532113e-02    3.30380438e-02    8.49924313e-04   -1.66551628e-04   -4.98238409e-04
    3.68316415e-01    1.00035891e+00   -1.52903764e-02   -2.11516733e-02    3.48910355e-02    8.96191479e-04   -1.82138398e-04   -5.24861314e-04
    3.89768194e-01    1.00037257e+00   -1.61696644e-02   -2.24010362e-02    3.68095224e-02    9.43965067e-04   -1.98912978e-04   -5.52344138e-04
    4.12113798e-01    1.00038668e+00   -1.70844764e-02   -2.37036027e-02    3.87953422e-02    9.93194768e-04   -2.16917875e-04   -5.80630541e-04
    4.35390468e-01    1.00040126e+00   -1.80361178e-02   -2.50617673e-02    4.08503454e-02    1.04384657e-03   -2.36168593e-04   -6.09702300e-04
    4.59637000e-01    1.00041631e+00   -1.90259861e-02   -2.64779878e-02    4.29763925e-02    1.09592034e-03   -2.56762846e-04   -6.39561246e-04
    4.84893803e-01    1.00043187e+00   -2.00555637e-02   -2.79548014e-02    4.51753491e-02    1.14956913e-03   -2.78839642e-04   -6.70234963e-04
    5.11202974e-01    1.00044793e+00   -2.11263526e-02   -2.94948934e-02    4.74490824e-02    1.20494992e-03   -3.02440038e-04   -7.01702437e-04
    5.38608360e-01    1.00046452e+00   -2.22399003e-02   -3.11010774e-02    4.97994580e-02    1.26205860e-03   -3.27581144e-04   -7.33952836e-04
    5.67155637e-01    1.00048166e+00   -2.33978001e-02   -3.27763041e-02    5.22283342e-02    1.32078026e-03   -3.54258892e-04   -7.66996936e-04
    5.96892384e-01    1.00049936e+00   -2.46016757e-02   -3.45236880e-02    5.47375574e-02    1.38092067e-03   -3.82480964e-04   -8.00892442e-04
    6.27868162e-01    1.00051766e+00   -2.58532165e-02   -3.63464800e-02    5.73289560e-02    1.44219234e-03   -4.12372908e-04   -8.35678162e-04
    6.60134598e-01    1.00053657e+00   -2.71542174e-02   -3.82480332e-02    6.00043349e-02    1.50423981e-03   -4.44133306e-04   -8.71378920e-04
    6.93745468e-01    1.00055611e+00   -2.85065219e-02   -4.02318675e-02    6.27654675e-02    1.56683741e-03   -4.77816460e-04   -9.07954412e-04
    7.28756791e-01    1.00057632e+00   -2.99120735e-02   -4.23016169e-02    6.56140888e-02    1.62984389e-03   -5.13719216e-04   -9.45483976e-04
    7.65226920e-01    1.00059722e+00   -3.13726896e-02   -4.44612770e-02    6.85518885e-02    1.69319959e-03   -5.52076385e-04   -9.83856842e-04
    8.03216637e-01    1.00061884e+00   -3.28902796e-02   -4.67150137e-02    7.15805057e-02    1.75670850e-03   -5.92711648e-04   -1.02281939e-03
    8.42789259e-01    1.00064122e+00   -3.44667818e-02   -4.90672272e-02    7.47015185e-02    1.82041357e-03   -6.35044814e-04   -1.06214020e-03
    8.84010740e-01    1.00066439e+00   -3.61044008e-02   -5.15222907e-02    7.79164370e-02    1.88399687e-03   -6.78980238e-04   -1.10172445e-03
    9.26949783e-01    1.00068840e+00   -3.78054283e-02   -5.40847905e-02    8.12266904e-02    1.94742995e-03   -7.25003233e-04   -1.14155906e-03
    9.71677953e-01    1.00071327e+00   -3.95720579e-02   -5.67597287e-02    8.46336195e-02    2.01087349e-03   -7.73357152e-04   -1.18104980e-03
    1.01826980e+00    1.00073907e+00   -4.14058779e-02   -5.95530309e-02    8.81384718e-02    2.07395921e-03   -8.24136115e-04   -1.21965053e-03
    1.06680297e+00    1.00076583e+00   -4.33091289e-02   -6.24702637e-02    9.17423915e-02    2.13593840e-03   -8.77152457e-04   -1.25733406e-03
    1.11735835e+00    1.00079361e+00   -4.52838344e-02   -6.55175729e-02    9.54464019e-02    2.19632148e-03   -9.32805269e-04   -1.29387689e-03
    1.17002021e+00    1.00082246e+00   -4.73322611e-02   -6.87012101e-02    9.92513921e-02    2.25538803e-03   -9.91393636e-04   -1.32966177e-03
    1.20000000e+00    1.00083445e+00   -4.84970434e-02   -7.05202032e-02    1.01393587e-01    2.28810468e-03   -1.02497986e-03   -1.34959621e-03
