      # Time            Volume             Sxx               Syy               Szz               Sxy               Sxz               Syz        
    5.00000000e-05    1.00000156e+00    1.21038456e-14    1.21280482e-14    6.42975026e-04    2.31406498e-16    1.06522289e-15   -6.87555586e-17
    2.06250000e-04    1.00000645e+00    4.26120026e-13    4.28838045e-13    2.65222940e-03   -1.34576235e-14    1.93526415e-14   -3.74845963e-15
    6.94531250e-04    1.00002172e+00    1.36322112e-11    1.37220196e-11    8.93073348e-03   -4.63022685e-13    7.36986367e-13   -1.10480431e-13
    2.22041016e-03    1.00006925e+00   -1.78469679e-11    1.65132296e-10    2.84676846e-02    4.84890041e-11    9.48052910e-11   -4.88204743e-12
    4.60459595e-03    1.00009813e+00    1.04711135e-09   -2.64506171e-10    4.03244212e-02    1.70785901e-11   -4.62169345e-10   -4.53172180e-11
    6.46724110e-03    1.00010295e+00    8.39996824e-10    1.74364922e-09    4.22940923e-02    3.27115109e-10   -2.00526810e-10   -5.43533441e-10
    8.40749646e-03    1.00010584e+00    1.35728685e-12   -1.39083962e-11    4.34688223e-02   -1.72646669e-11   -2.97484721e-11   -5.71559651e-13
    1.04285958e-02    1.00010819e+00   -1.22760553e-13   -4.97395092e-12    4.44204610e-02   -2.77716175e-11   -1.21135454e-11   -2.78669442e-14
    1.25339076e-02    1.00011031e+00   -2.00403548e-13   -2.08893888e-12    4.52786760e-02   -6.07808187e-12   -6.33601826e-12    4.29126491e-13
    1.47269407e-02    1.00011233e+00    3.94844564e-10    4.90950605e-11    4.60964482e-02   -1.70165106e-09   -1.27260465e-09    1.11661340e-10
    1.81535550e-02    1.00011532e+00    1.08484414e-14    1.33524187e-12    4.72849483e-02    3.25554756e-12   -2.59471759e-12    2.78999575e-12
    2.17229449e-02    1.00011828e+00    4.32292781e-14    2.21608782e-12    4.84611478e-02    8.50342310e-12    8.89583873e-13    1.10449259e-12
    2.54410593e-02    1.00012127e+00   -2.60127590e-13    8.63295344e-13    4.96460722e-02    2.26480648e-12    1.21337866e-13    2.06257393e-13
    2.93140952e-02    1.00012432e+00   -2.12444887e-12   -2.28776647e-12    5.08509268e-02   -2.08845160e-12    4.87247773e-12    1.30129661e-12
    3.33485076e-02    1.00012744e+00    3.32259958e-13    2.20238994e-12    5.20812749e-02    2.80120628e-12   -2.16330838e-12   -1.19351614e-13
    3.75510205e-02    1.00013065e+00   -8.71318379e-13    1.40840436e-12    5.33432568e-02    5.81115371e-13   -6.31504592e-13    2.42284876e-13
    4.19286381e-02    1.00013395e+00   -6.72606475e-13    7.70841928e-13    5.46411212e-02    1.30786220e-12    1.20678747e-12    4.56345404e-13
    4.64886564e-02    1.00013736e+00   -4.75536929e-13    3.72711767e-13    5.59778401e-02   -3.04707642e-13    1.09455955e-12    5.47644086e-13
    5.12386755e-02    1.00014089e+00    1.37903962e-13    4.39966044e-13    5.73562615e-02    2.60650077e-12    7.63736922e-13    5.39684392e-13
    5.61866121e-02    1.00014454e+00    4.53920929e-13    8.10661353e-13    5.87783729e-02    5.84868620e-12    2.15935386e-12    9.24963272e-13
    6.13407126e-02    1.00014832e+00    4.93923323e-13    6.58039384e-13    6.02466982e-02    4.38204544e-12   -3.29281935e-13    8.12941419e-13
    6.67095674e-02    1.00015223e+00    2.48031602e-13    9.47811757e-13    6.17632045e-02    2.31390998e-12   -2.17233660e-12    3.14153424e-13
