      # Time            Volume             Sxx               Syy               Szz               Sxy               Sxz               Syz        
    7.23021245e-02    1.00015628e+00   -6.37458824e-13    5.52072192e-13    6.33297982e-02   -8.06972956e-14   -7.28901432e-13   -4.18027151e-14
    7.81277047e-02    1.00016048e+00   -1.17325785e-12   -6.57479369e-14    6.49483954e-02   -2.47935430e-12    1.31694435e-12   -2.81458222e-13
    8.41960175e-02    1.00016483e+00   -1.44291958e-12    2.27917538e-13    6.66210144e-02   -3.78919257e-12    2.14971341e-12   -2.55140701e-13
    9.05171766e-02    1.00016934e+00    1.25799566e-10    1.46253908e-10    6.83494258e-02    3.67365402e-10   -1.18691711e-10    7.52520691e-11
    1.00393988e-01    1.00017658e+00   -5.02263951e-12    1.12581685e-12    7.10182076e-02   -4.99190342e-12    8.80775110e-13   -2.07501101e-12
    1.10682333e-01    1.00018407e+00   -7.14802860e-12    2.05556993e-12    7.37650406e-02   -1.41126833e-11   -3.62992144e-12   -2.82208188e-12
    1.21399359e-01    1.00019182e+00   -5.69503270e-12    1.92601333e-13    7.65915851e-02   -1.48233656e-11   -9.92650862e-12   -2.83334123e-12
    1.32562927e-01    1.00019984e+00   -1.06413954e-11   -1.94443697e-12    7.94993662e-02   -2.18817797e-11   -9.14138372e-12   -3.08204794e-12
    1.44191645e-01    1.00020813e+00   -1.28122833e-11   -2.92915168e-12    8.24898901e-02   -3.10482778e-11   -1.95356608e-12   -2.39067432e-12
    1.56304892e-01    1.00021672e+00   -1.69777216e-11    5.46669510e-13    8.55641000e-02   -3.41551399e-11    5.19353048e-13   -3.17095229e-12
    1.68922858e-01    1.00022560e+00   -2.02036842e-11   -4.71708438e-12    8.87229742e-02   -4.31347555e-11    8.24805604e-12   -5.11311784e-12
    1.82066573e-01    1.00023479e+00   -2.09145191e-11   -1.04014643e-11    9.19674957e-02   -5.09061125e-11    1.53002617e-11   -5.39250846e-12
    1.95757942e-01    1.00024429e+00   -2.10569532e-11   -1.10130949e-11    9.52980708e-02   -5.36406337e-11    1.68185438e-11   -6.57584487e-12
    2.10019785e-01    1.00025412e+00   -2.58136032e-11   -1.23966530e-11    9.87149279e-02   -6.42799152e-11    5.74784380e-12   -1.08682199e-11
    2.24875872e-01    1.00026429e+00   -3.05152935e-11   -1.66768891e-11    1.02218321e-01   -7.99263271e-11   -5.88512917e-12   -8.74603943e-12
    2.40350962e-01    1.00027479e+00   -3.55002371e-11   -1.87511779e-11    1.05808206e-01   -9.28076174e-11   -2.80176054e-12   -7.01710006e-12
    2.56470847e-01    1.00028566e+00   -4.45961203e-11   -2.33714479e-11    1.09484581e-01   -1.11322883e-10    7.28651065e-12   -9.54285324e-12
    2.73262395e-01    1.00029689e+00   -5.07805029e-11   -2.66928451e-11    1.13247025e-01   -1.22096923e-10    1.34772736e-11   -1.33208902e-11
    2.90753590e-01    1.00030849e+00   -5.38036150e-11   -2.89353420e-11    1.17094873e-01   -1.26742014e-10    9.00504570e-12   -1.70708098e-11
    3.08973585e-01    1.00032048e+00   -5.20335669e-11   -2.76733102e-11    1.21027296e-01   -1.25761518e-10    1.02661236e-11   -1.71569930e-11
    3.27952746e-01    1.00033288e+00   -5.63288355e-11   -3.06735510e-11    1.25043107e-01   -1.41438261e-10    2.19191952e-11   -1.68587321e-11
    3.47722706e-01    1.00034568e+00   -7.03698557e-11   -3.95746862e-11    1.29140948e-01   -1.78989605e-10    2.09001824e-11   -1.83062512e-11
    3.68316415e-01    1.00035891e+00   -7.75732555e-11   -4.31857145e-11    1.33318983e-01   -2.31673375e-10    5.60846510e-12   -2.63515932e-11
    3.89768194e-01    1.00037257e+00   -9.11499228e-11   -5.18226283e-11    1.37575096e-01   -2.94626694e-10   -2.61081483e-11   -3.20811286e-11
    4.12113798e-01    1.00038668e+00   -1.10769861e-10   -6.55036204e-11    1.41907012e-01   -3.57360639e-10   -5.90262125e-12   -3.64316042e-11
    4.35390468e-01    1.00040126e+00   -1.45364346e-10   -8.71814839e-11    1.46312241e-01   -4.88173776e-10    5.47777810e-11   -3.58664496e-11
    4.59637000e-01    1.00041631e+00   -1.87518975e-10   -1.15399036e-10    1.50787729e-01   -6.50709975e-10    9.60853647e-11   -4.28906163e-11
    4.84893803e-01    1.00043187e+00   -2.01648593e-10   -1.21483537e-10    1.55330068e-01   -7.42277035e-10    6.14761991e-11   -5.63225564e-11
    5.11202974e-01    1.00044793e+00   -2.30152895e-10   -1.37035525e-10    1.59935509e-01   -8.35053015e-10    7.27899268e-13   -7.60034339e-11
    5.38608360e-01    1.00046452e+00   -3.00850935e-10   -1.75508083e-10    1.64600152e-01   -1.00582792e-09   -4.28199118e-11   -1.00570917e-10
    5.67155637e-01    1.00048166e+00   -3.65317276e-10   -2.08122992e-10    1.69319732e-01   -1.23986547e-09   -2.94835440e-11   -1.12768087e-10
    5.96892384e-01    1.00049936e+00   -4.26591896e-10   -2.23634280e-10    1.74089466e-01   -1.50986599e-09    5.67494909e-11   -1.21468521e-10
    6.27868162e-01    1.00051766e+00   -5.51376923e-10   -2.52811929e-10    1.78904390e-01   -1.93606700e-09    8.40882056e-11   -1.56495556e-10
    6.60134598e-01    1.00053657e+00   -7.75007973e-10   -3.49601564e-10    1.83759342e-01   -2.60220479e-09   -2.12531385e-10   -2.77843063e-10
    6.93745468e-01    1.00055611e+00   -8.78547554e-10   -6.09811713e-10    1.88648517e-01   -3.44733916e-09   -5.31175074e-10   -3.25042720e-10
    7.28756791e-01    1.00057632e+00   -1.14975264e-09   -7.89429099e-10    1.93565999e-01   -4.50187086e-09   -6.67600383e-10   -4.58227993e-10
    7.65226920e-01    1.00059722e+00   -1.46991266e-09   -9.27289963e-10    1.98505606e-01   -5.61848647e-09   -8.76845604e-10   -5.96092702e-10
    8.03216637e-01    1.00061884e+00   -1.83116760e-09   -1.08114438e-09    2.03460653e-01   -6.85493932e-09   -1.00115275e-09   -8.38041525e-10
    8.42789259e-01    1.00064122e+00   -2.01902139e-09   -1.32820734e-09    2.08423674e-01   -8.11487573e-09   -6.52368339e-10   -8.90495411e-10
    8.84010740e-01    1.00066439e+00   -2.32466613e-09   -1.51269240e-09    2.13388167e-01   -9.68415804e-09   -3.84502118e-10   -9.95052511e-10
    9.26949783e-01    1.00068840e+00   -2.85410331e-09   -2.01457768e-09    2.18346729e-01   -1.20032907e-08   -9.83694051e-10   -1.28924280e-09
    9.71677953e-01    1.00071327e+00   -3.20105750e-09   -2.62595579e-09    2.23291645e-01   -1.35277206e-08   -1.98291837e-09   -1.60972310e-09
    1.01826980e+00    1.00073907e+00   -4.26716380e-09   -3.60466209e-09    2.28214738e-01   -1.65799354e-08   -4.08881849e-09   -2.51502276e-09
    1.06680297e+00    1.00076583e+00   -5.17573850e-09   -4.15913321e-09    2.33107911e-01   -1.98505250e-08   -4.08066685e-09   -3.18339055e-09
    1.11735835e+00    1.00079361e+00   -6.57417063e-09   -4.75207583e-09    2.37962087e-01   -2.45439431e-08   -6.46099509e-09   -3.76923013e-09
    1.17002021e+00    1.00082246e+00   -7.78733810e-09   -4.77147499e-09    2.42768679e-01   -2.80140243e-08   -7.87636859e-09   -4.51894000e-09
    1.20000000e+00    1.00083445e+00   -6.99039894e-10   -4.27031977e-10    2.45424804e-01   -4.93423862e-09   -1.01815961e-09   -4.04024039e-10
