      # Time            Volume             Ee11              Ee22              Ee33              Ee23              Ee13              Ee12       
    5.00000000e-05    1.00000156e+00   -6.52013073e-08   -5.97936310e-08    7.28502963e-07    3.45182917e-08   -3.57852082e-08    6.12148327e-10
    2.06250000e-04    1.00000645e+00   -2.68957051e-07   -2.46650053e-07    3.00503720e-06    1.42384596e-07   -1.47612881e-07    2.52686095e-09
    6.94531250e-04    1.00002172e+00   -9.05709931e-07   -8.30589312e-07    1.01188403e-05    4.79434009e-07   -4.97063589e-07    8.52741736e-09
    2.22041016e-03    1.00006925e+00   -2.91225111e-06   -2.64889063e-06    3.22580272e-05    1.53065829e-06   -1.58227518e-06    2.62430111e-08
    4.60459595e-03    1.00009813e+00   -3.97076821e-06   -5.01054952e-06    4.54759638e-05    2.43543480e-06   -2.32007153e-06   -5.48978424e-07
    6.46724110e-03    1.00010295e+00   -3.93860268e-06   -5.36296780e-06    4.73212657e-05    2.57872457e-06   -2.35800859e-06   -9.26377382e-07
    8.40749646e-03    1.00010584e+00   -3.97496267e-06   -5.39462816e-06    4.83007254e-05    2.61158945e-06   -2.37888128e-06   -1.13719379e-06
    1.04285958e-02    1.00010819e+00   -4.05124642e-06   -5.38559335e-06    4.90854332e-05    2.60748018e-06   -2.41106814e-06   -1.27637843e-06
    1.25339076e-02    1.00011031e+00   -4.13745727e-06   -5.37296772e-06    4.98009255e-05    2.59475395e-06   -2.44829089e-06   -1.39809418e-06
    1.47269407e-02    1.00011233e+00   -4.23992464e-06   -5.35766896e-06    5.04884952e-05    2.58310242e-06   -2.48594454e-06   -1.51061843e-06
    1.81535550e-02    1.00011532e+00   -4.41146324e-06   -5.33576067e-06    5.15140000e-05    2.56595128e-06   -2.55701787e-06   -1.65738911e-06
    2.17229449e-02    1.00011828e+00   -4.57796769e-06   -5.32089312e-06    5.25581503e-05    2.54992556e-06   -2.64561914e-06   -1.79300897e-06
    2.54410593e-02    1.00012127e+00   -4.73933113e-06   -5.30902712e-06    5.36379171e-05    2.53006779e-06   -2.74562321e-06   -1.92409375e-06
    2.93140952e-02    1.00012432e+00   -4.89803093e-06   -5.30988734e-06    5.47540971e-05    2.50736021e-06   -2.84920865e-06   -2.05368859e-06
    3.33485076e-02    1.00012744e+00   -5.05152954e-06   -5.33242791e-06    5.59110155e-05    2.48636148e-06   -2.94891290e-06   -2.17996544e-06
    3.75510205e-02    1.00013065e+00   -5.19197970e-06   -5.38208898e-06    5.71136216e-05    2.46865091e-06   -3.04449601e-06   -2.30679572e-06
    4.19286381e-02    1.00013395e+00   -5.32749661e-06   -5.45140627e-06    5.83623310e-05    2.45571277e-06   -3.13720758e-06   -2.43621406e-06
    4.64886564e-02    1.00013736e+00   -5.46017167e-06   -5.53634801e-06    5.96603472e-05    2.44644077e-06   -3.23025982e-06   -2.56405701e-06
    5.12386755e-02    1.00014089e+00   -5.59387302e-06   -5.63739263e-06    6.10076953e-05    2.43893842e-06   -3.32617874e-06   -2.68697055e-06
    5.61866121e-02    1.00014454e+00   -5.73385182e-06   -5.74874615e-06    6.24086297e-05    2.43370473e-06   -3.42713299e-06   -2.80142179e-06
    6.13407126e-02    1.00014832e+00   -5.87798238e-06   -5.87148445e-06    6.38648901e-05    2.43074917e-06   -3.53389034e-06   -2.91162757e-06
    6.67095674e-02    1.00015223e+00   -6.01956587e-06   -6.01042812e-06    6.53773719e-05    2.42785445e-06   -3.64697345e-06   -3.01850026e-06
    7.23021245e-02    1.00015628e+00   -6.16158872e-06   -6.16437060e-06    6.69439195e-05    2.42581408e-06   -3.76292995e-06   -3.12308441e-06
    7.81277047e-02    1.00016048e+00   -6.30776886e-06   -6.33207041e-06    6.85655002e-05    2.42532320e-06   -3.87918606e-06   -3.22522159e-06
    8.41960175e-02    1.00016483e+00   -6.45788900e-06   -6.51154316e-06    7.02454703e-05    2.42439527e-06   -3.99638215e-06   -3.32606018e-06
    9.05171766e-02    1.00016934e+00   -6.61616744e-06   -6.69766342e-06    7.19874050e-05    2.42183742e-06   -4.11296261e-06   -3.42642018e-06
    1.00393988e-01    1.00017658e+00   -6.86691525e-06   -6.98759658e-06    7.46834668e-05    2.42313687e-06   -4.28746784e-06   -3.57297489e-06
    1.10682333e-01    1.00018407e+00   -7.13005577e-06   -7.29181441e-06    7.74622889e-05    2.43150666e-06   -4.46271825e-06   -3.71909046e-06
    1.21399359e-01    1.00019182e+00   -7.40071529e-06   -7.61122370e-06    8.03242505e-05    2.44579697e-06   -4.63848697e-06   -3.87009415e-06
    1.32562927e-01    1.00019984e+00   -7.68007824e-06   -7.94379900e-06    8.32689786e-05    2.46307545e-06   -4.81659330e-06   -4.02662794e-06
    1.44191645e-01    1.00020813e+00   -7.96838850e-06   -8.28604890e-06    8.62960357e-05    2.48250147e-06   -4.99675667e-06   -4.18552378e-06
    1.56304892e-01    1.00021672e+00   -8.26782005e-06   -8.63729487e-06    8.94054571e-05    2.50365329e-06   -5.17903750e-06   -4.34592454e-06
