      # Time            Volume             Ee11              Ee22              Ee33              Ee23              Ee13              Ee12       
    1.68922858e-01    1.00022560e+00   -8.57760543e-06   -9.00220377e-06    9.25993540e-05    2.52661673e-06   -5.36527099e-06   -4.50716767e-06
    1.82066573e-01    1.00023479e+00   -8.89731634e-06   -9.38110931e-06    9.58795180e-05    2.55014502e-06   -5.55585070e-06   -4.66988337e-06
    1.95757942e-01    1.00024429e+00   -9.22698743e-06   -9.77181672e-06    9.92467108e-05    2.57465836e-06   -5.74965404e-06   -4.83516060e-06
    2.10019785e-01    1.00025412e+00   -9.56441475e-06   -1.01731968e-05    1.02699369e-04    2.60158433e-06   -5.94470664e-06   -5.00632529e-06
    2.24875872e-01    1.00026429e+00   -9.90921003e-06   -1.05865815e-05    1.06238235e-04    2.63065311e-06   -6.14039279e-06   -5.18281267e-06
    2.40350962e-01    1.00027479e+00   -1.02680897e-05   -1.10112361e-05    1.09867366e-04    2.66310519e-06   -6.33950773e-06   -5.36188242e-06
    2.56470847e-01    1.00028566e+00   -1.06386208e-05   -1.14494785e-05    1.13584060e-04    2.69593869e-06   -6.54281044e-06   -5.54328646e-06
    2.73262395e-01    1.00029689e+00   -1.10192911e-05   -1.19021044e-05    1.17386303e-04    2.72737418e-06   -6.75136135e-06   -5.72674164e-06
    2.90753590e-01    1.00030849e+00   -1.14087042e-05   -1.23705585e-05    1.21273005e-04    2.75754718e-06   -6.96514256e-06   -5.91263311e-06
    3.08973585e-01    1.00032048e+00   -1.18073277e-05   -1.28553467e-05    1.25242946e-04    2.78748640e-06   -7.18329691e-06   -6.10021788e-06
    3.27952746e-01    1.00033288e+00   -1.22162960e-05   -1.33561070e-05    1.29294772e-04    2.81656372e-06   -7.40543363e-06   -6.28980404e-06
    3.47722706e-01    1.00034568e+00   -1.26352549e-05   -1.38720025e-05    1.33427550e-04    2.84409260e-06   -7.63161753e-06   -6.48214744e-06
    3.68316415e-01    1.00035891e+00   -1.30616029e-05   -1.44047163e-05    1.37639307e-04    2.87179434e-06   -7.86126034e-06   -6.67685886e-06
    3.89768194e-01    1.00037257e+00   -1.34929014e-05   -1.49553139e-05    1.41927577e-04    2.90066331e-06   -8.09203044e-06   -6.87248474e-06
    4.12113798e-01    1.00038668e+00   -1.39303489e-05   -1.55247210e-05    1.46289126e-04    2.92989226e-06   -8.32323143e-06   -7.06850171e-06
    4.35390468e-01    1.00040126e+00   -1.43763679e-05   -1.61118598e-05    1.50720362e-04    2.95774279e-06   -8.55416736e-06   -7.26605016e-06
    4.59637000e-01    1.00041631e+00   -1.48337517e-05   -1.67157898e-05    1.55217045e-04    2.98538900e-06   -8.78339744e-06   -7.46610366e-06
    4.84893803e-01    1.00043187e+00   -1.53026365e-05   -1.73346415e-05    1.59775619e-04    3.01413818e-06   -9.00988011e-06   -7.66914984e-06
    5.11202974e-01    1.00044793e+00   -1.57811209e-05   -1.79681681e-05    1.64393778e-04    3.04379125e-06   -9.23674227e-06   -7.87337174e-06
    5.38608360e-01    1.00046452e+00   -1.62673184e-05   -1.86162493e-05    1.69068577e-04    3.07309395e-06   -9.46468047e-06   -8.07684503e-06
    5.67155637e-01    1.00048166e+00   -1.67601935e-05   -1.92781446e-05    1.73796058e-04    3.09995271e-06   -9.69154255e-06   -8.28026806e-06
    5.96892384e-01    1.00049936e+00   -1.72610746e-05   -1.99530704e-05    1.78569697e-04    3.12484836e-06   -9.91410426e-06   -8.48442595e-06
    6.27868162e-01    1.00051766e+00   -1.77684813e-05   -2.06424745e-05    1.83383391e-04    3.14863529e-06   -1.01296972e-05   -8.69034434e-06
    6.60134598e-01    1.00053657e+00   -1.82801663e-05   -2.13467144e-05    1.88231626e-04    3.17297229e-06   -1.03384731e-05   -8.89739925e-06
    6.93745468e-01    1.00055611e+00   -1.87957068e-05   -2.20650686e-05    1.93108162e-04    3.19985787e-06   -1.05402343e-05   -9.10404549e-06
    7.28756791e-01    1.00057632e+00   -1.93125283e-05   -2.27980968e-05    1.98002290e-04    3.22831832e-06   -1.07343079e-05   -9.30970943e-06
    7.65226920e-01    1.00059722e+00   -1.98296633e-05   -2.35444854e-05    2.02907345e-04    3.25420190e-06   -1.09207311e-05   -9.51287014e-06
    8.03216637e-01    1.00061884e+00   -2.03489836e-05   -2.42996311e-05    2.07820331e-04    3.27683872e-06   -1.11063556e-05   -9.70974864e-06
    8.42789259e-01    1.00064122e+00   -2.08652143e-05   -2.50721241e-05    2.12737291e-04    3.29511289e-06   -1.12962495e-05   -9.89818401e-06
    8.84010740e-01    1.00066439e+00   -2.13735081e-05   -2.58589221e-05    2.17650907e-04    3.31229075e-06   -1.14782428e-05   -1.00800696e-05
    9.26949783e-01    1.00068840e+00   -2.18751499e-05   -2.66539593e-05    2.22552054e-04    3.32928744e-06   -1.16449055e-05   -1.02533782e-05
    9.71677953e-01    1.00071327e+00   -2.23680159e-05   -2.74540657e-05    2.27435271e-04    3.34078650e-06   -1.17955189e-05   -1.04158891e-05
    1.01826980e+00    1.00073907e+00   -2.28468808e-05   -2.82540412e-05    2.32291225e-04    3.35153705e-06   -1.19316959e-05   -1.05634402e-05
    1.06680297e+00    1.00076583e+00   -2.33209479e-05   -2.90458218e-05    2.37120193e-04    3.37939420e-06   -1.20569176e-05   -1.06974281e-05
    1.11735835e+00    1.00079361e+00   -2.37948264e-05   -2.98294887e-05    2.41905898e-04    3.42098560e-06   -1.21715363e-05   -1.08153447e-05
    1.17002021e+00    1.00082246e+00   -2.42663437e-05   -3.06040361e-05    2.46630037e-04    3.46749877e-06   -1.22687975e-05   -1.09233698e-05
    1.20000000e+00    1.00083445e+00   -2.45324797e-05   -3.10324592e-05    2.49236362e-04    3.49265813e-06   -1.23160767e-05   -1.09794436e-05
