      # Time            Volume             E11               E22               E33               E23               E13               E12        
    2.60868753e-01    9.99753272e-01    1.09826043e-02    1.48741634e-02   -2.71451152e-02   -7.05674509e-04    7.84127870e-05    3.97610463e-04
    2.84081388e-01    9.99744740e-01    1.19620886e-02    1.62097493e-02   -2.96671157e-02   -7.70095129e-04    8.94242339e-05    4.30511962e-04
    3.08261217e-01    9.99736370e-01    1.29828278e-02    1.76011636e-02   -3.23135085e-02   -8.37696053e-04    1.01368787e-04    4.64301283e-04
    3.33448538e-01    9.99728205e-01    1.40466883e-02    1.90506239e-02   -3.50913290e-02   -9.08567571e-04    1.14191813e-04    4.98979890e-04
    3.59685331e-01    9.99720297e-01    1.51555983e-02    2.05604580e-02   -3.80080941e-02   -9.82882301e-04    1.27973567e-04    5.34590395e-04
    3.87015323e-01    9.99712700e-01    1.63115028e-02    2.21331555e-02   -4.10718423e-02   -1.06084988e-03    1.42687637e-04    5.71048348e-04
    4.15484065e-01    9.99705477e-01    1.75164741e-02    2.37712644e-02   -4.42911791e-02   -1.14270992e-03    1.58132558e-04    6.08178201e-04
    4.45139005e-01    9.99698696e-01    1.87723549e-02    2.54777486e-02   -4.76753252e-02   -1.22865889e-03    1.73966824e-04    6.45881378e-04
    4.76029568e-01    9.99692430e-01    2.00812334e-02    2.72555314e-02   -5.12341718e-02   -1.31886051e-03    1.89968202e-04    6.83836572e-04
    5.08207237e-01    9.99686759e-01    2.14452422e-02    2.91077037e-02   -5.49783412e-02   -1.41360923e-03    2.05970334e-04    7.21734191e-04
    5.41725642e-01    9.99681773e-01    2.28666025e-02    3.10374870e-02   -5.89192546e-02   -1.51328920e-03    2.21846498e-04    7.59612616e-04
    5.76640647e-01    9.99677572e-01    2.43479107e-02    3.30479570e-02   -6.30692067e-02   -1.61824184e-03    2.37723039e-04    7.97706137e-04
    6.13010445e-01    9.99674261e-01    2.58917450e-02    3.51424307e-02   -6.74414484e-02   -1.72890072e-03    2.53935670e-04    8.35860337e-04
    6.50895651e-01    9.99671957e-01    2.75001860e-02    3.73249453e-02   -7.20502796e-02   -1.84571937e-03    2.70855369e-04    8.73982930e-04
    6.90359406e-01    9.99670788e-01    2.91759086e-02    3.95992216e-02   -7.69111493e-02   -1.96884604e-03    2.88330664e-04    9.11820773e-04
    7.31467486e-01    9.99670896e-01    3.09217671e-02    4.19690457e-02   -8.20407785e-02   -2.09898477e-03    3.05954472e-04    9.49383694e-04
    7.74288401e-01    9.99672435e-01    3.27404562e-02    4.44386288e-02   -8.74572896e-02   -2.23704369e-03    3.23690280e-04    9.86765134e-04
    8.18893522e-01    9.99675573e-01    3.46351496e-02    4.70120353e-02   -9.31803448e-02   -2.38329866e-03    3.41327084e-04    1.02396078e-03
    8.65357189e-01    9.99680496e-01    3.66095806e-02    4.96930832e-02   -9.92313184e-02   -2.53831923e-03    3.59326351e-04    1.06067748e-03
    9.13756842e-01    9.99687406e-01    3.86670828e-02    5.24862761e-02   -1.05633476e-01   -2.70252104e-03    3.77724962e-04    1.09671465e-03
    9.64173148e-01    9.99696526e-01    4.08112833e-02    5.53961765e-02   -1.12412186e-01   -2.87607898e-03    3.96697658e-04    1.13177909e-03
    1.01669013e+00    9.99708102e-01    4.30462325e-02    5.84272366e-02   -1.19595170e-01   -3.05960203e-03    4.17271122e-04    1.16431871e-03
    1.07139533e+00    9.99722402e-01    4.53773375e-02    6.15829157e-02   -1.27212756e-01   -3.25333324e-03    4.40311978e-04    1.19235937e-03
    1.12837990e+00    9.99739724e-01    4.78105586e-02    6.48665343e-02   -1.35298198e-01   -3.45757488e-03    4.66432959e-04    1.21602455e-03
    1.18773883e+00    9.99760394e-01    5.03515297e-02    6.82821450e-02   -1.43888019e-01   -3.67227977e-03    4.94381086e-04    1.23560940e-03
    1.20000000e+00    9.99759023e-01    5.08749042e-02    6.89841082e-02   -1.45684030e-01   -3.71659097e-03    5.00064806e-04    1.23935776e-03
