      # Time            Volume      Equiv_Plastic_Stra
    5.00000000e-05    1.00000156e+00    0.00000000e+00
    2.06250000e-04    1.00000645e+00    4.38622126e-57
    6.94531250e-04    1.00002172e+00    3.17095312e-30
    2.22041016e-03    1.00006925e+00    6.03269776e-07
    4.60459595e-03    1.00009813e+00    1.71114334e-04
    6.46724110e-03    1.00010295e+00    3.69825112e-04
    8.40749646e-03    1.00010584e+00    5.80325020e-04
    1.04285958e-02    1.00010819e+00    7.98940539e-04
    1.25339076e-02    1.00011031e+00    1.02571369e-03
    1.47269407e-02    1.00011233e+00    1.26106867e-03
    1.81535550e-02    1.00011532e+00    1.62745955e-03
    2.17229449e-02    1.00011828e+00    2.00797549e-03
    2.54410593e-02    1.00012127e+00    2.40336026e-03
    2.93140952e-02    1.00012432e+00    2.81425795e-03
    3.33485076e-02    1.00012744e+00    3.24135201e-03
    3.75510205e-02    1.00013065e+00    3.68540814e-03
    4.19286381e-02    1.00013395e+00    4.14716651e-03
    4.64886564e-02    1.00013736e+00    4.62738735e-03
    5.12386755e-02    1.00014089e+00    5.12684736e-03
    5.61866121e-02    1.00014454e+00    5.64632501e-03
    6.13407126e-02    1.00014832e+00    6.18669912e-03
    6.67095674e-02    1.00015223e+00    6.74885130e-03
    7.23021245e-02    1.00015628e+00    7.33367665e-03
    7.81277047e-02    1.00016048e+00    7.94208419e-03
    8.41960175e-02    1.00016483e+00    8.57504947e-03
    9.05171766e-02    1.00016934e+00    9.23360207e-03
    1.00393988e-01    1.00017658e+00    1.02609318e-02
    1.10682333e-01    1.00018407e+00    1.13294070e-02
    1.21399359e-01    1.00019182e+00    1.24406791e-02
    1.32562927e-01    1.00019984e+00    1.35964806e-02
    1.44191645e-01    1.00020813e+00    1.47986375e-02
    1.56304892e-01    1.00021672e+00    1.60489992e-02
    1.68922858e-01    1.00022560e+00    1.73495018e-02
    1.82066573e-01    1.00023479e+00    1.87021746e-02
    1.95757942e-01    1.00024429e+00    2.01090552e-02
    2.10019785e-01    1.00025412e+00    2.15722458e-02
    2.24875872e-01    1.00026429e+00    2.30939421e-02
    2.40350962e-01    1.00027479e+00    2.46764107e-02
    2.56470847e-01    1.00028566e+00    2.63220429e-02
    2.73262395e-01    1.00029689e+00    2.80332955e-02
    2.90753590e-01    1.00030849e+00    2.98126717e-02
    3.08973585e-01    1.00032048e+00    3.16627716e-02
    3.27952746e-01    1.00033288e+00    3.35862965e-02
    3.47722706e-01    1.00034568e+00    3.55860564e-02
    3.68316415e-01    1.00035891e+00    3.76649095e-02
    3.89768194e-01    1.00037257e+00    3.98257771e-02
    4.12113798e-01    1.00038668e+00    4.20717141e-02
    4.35390468e-01    1.00040126e+00    4.44059177e-02
    4.59637000e-01    1.00041631e+00    4.68316482e-02
    4.84893803e-01    1.00043187e+00    4.93522507e-02
    5.11202974e-01    1.00044793e+00    5.19711845e-02
    5.38608360e-01    1.00046452e+00    5.46919997e-02
    5.67155637e-01    1.00048166e+00    5.75183670e-02
    5.96892384e-01    1.00049936e+00    6.04540547e-02
    6.27868162e-01    1.00051766e+00    6.35029488e-02
    6.60134598e-01    1.00053657e+00    6.66690118e-02
    6.93745468e-01    1.00055611e+00    6.99562731e-02
    7.28756791e-01    1.00057632e+00    7.33689565e-02
    7.65226920e-01    1.00059722e+00    7.69114060e-02
    8.03216637e-01    1.00061884e+00    8.05880251e-02
    8.42789259e-01    1.00064122e+00    8.44032998e-02
    8.84010740e-01    1.00066439e+00    8.83619773e-02
    9.26949783e-01    1.00068840e+00    9.24690430e-02
    9.71677953e-01    1.00071327e+00    9.67294710e-02
    1.01826980e+00    1.00073907e+00    1.01148174e-01
    1.06680297e+00    1.00076583e+00    1.05730289e-01
    1.11735835e+00    1.00079361e+00    1.10481071e-01
    1.17002021e+00    1.00082246e+00    1.15405930e-01
    1.20000000e+00    1.00083445e+00    1.18202002e-01
