      # Time            Volume             F11               F12               F13               F21               F22               F23               F31               F32               F33        
    1.00393988e-01    1.00017658e+00    9.95820669e-01   -1.23836306e-04    3.22481862e-05   -1.89376671e-04    9.94394167e-01   -2.62068219e-04   -5.90023125e-05    7.86152925e-04    1.01003942e+00
    1.10682333e-01    1.00018407e+00    9.95396554e-01   -1.36987588e-04    3.73908541e-05   -2.05480338e-04    9.93813591e-01   -2.78885529e-04   -7.31060587e-05    8.54201342e-04    1.01106826e+00
    1.21399359e-01    1.00019182e+00    9.94955661e-01   -1.50667769e-04    4.21206147e-05   -2.21687055e-04    9.93209577e-01   -2.95970347e-04   -8.78265491e-05    9.24383834e-04    1.01213996e+00
    1.32562927e-01    1.00019984e+00    9.94497399e-01   -1.64955716e-04    4.64689827e-05   -2.38064231e-04    9.92581177e-01   -3.13407000e-04   -1.03345563e-04    9.96722968e-04    1.01325632e+00
    1.44191645e-01    1.00020813e+00    9.94021075e-01   -1.79930319e-04    5.05501326e-05   -2.54658986e-04    9.91927493e-01   -3.31356885e-04   -1.19810764e-04    1.07124763e-03    1.01441920e+00
    1.56304892e-01    1.00021672e+00    9.93526040e-01   -1.95666426e-04    5.44921723e-05   -2.71436295e-04    9.91247526e-01   -3.49836582e-04   -1.37265068e-04    1.14786651e-03    1.01563053e+00
    1.68922858e-01    1.00022560e+00    9.93011647e-01   -2.12201589e-04    5.82787669e-05   -2.88524182e-04    9.90540220e-01   -3.68743345e-04   -1.55498964e-04    1.22666291e-03    1.01689233e+00
    1.82066573e-01    1.00023479e+00    9.92477148e-01   -2.29530093e-04    6.19303455e-05   -3.05969185e-04    9.89804567e-01   -3.88111875e-04   -1.74260087e-04    1.30795026e-03    1.01820671e+00
    1.95757942e-01    1.00024429e+00    9.91921872e-01   -2.47660909e-04    6.54249816e-05   -3.23803663e-04    9.89039417e-01   -4.07995611e-04   -1.93597931e-04    1.39179474e-03    1.01957585e+00
    2.10019785e-01    1.00025412e+00    9.91345186e-01   -2.66645939e-04    6.87408902e-05   -3.42000702e-04    9.88243524e-01   -4.28438562e-04   -2.13820021e-04    1.47822065e-03    1.02100204e+00
    2.24875872e-01    1.00026429e+00    9.90746315e-01   -2.86502523e-04    7.18531705e-05   -3.60522923e-04    9.87415724e-01   -4.49407244e-04   -2.35128096e-04    1.56722767e-03    1.02248766e+00
    2.40350962e-01    1.00027479e+00    9.90124494e-01   -3.07259538e-04    7.47357212e-05   -3.79329678e-04    9.86554781e-01   -4.70920914e-04   -2.57617802e-04    1.65888019e-03    1.02403518e+00
    2.56470847e-01    1.00028566e+00    9.89478853e-01   -3.28904874e-04    7.73289205e-05   -3.98387239e-04    9.85659503e-01   -4.92851333e-04   -2.81233310e-04    1.75311505e-03    1.02564717e+00
    2.73262395e-01    1.00029689e+00    9.88808495e-01   -3.51426710e-04    7.95891478e-05   -4.17649810e-04    9.84728658e-01   -5.15227551e-04   -3.05984626e-04    1.85007302e-03    1.02732634e+00
    2.90753590e-01    1.00030849e+00    9.88112465e-01   -3.74819243e-04    8.14990535e-05   -4.37060637e-04    9.83761003e-01   -5.38122704e-04   -3.31990950e-04    1.95004267e-03    1.02907547e+00
    3.08973585e-01    1.00032048e+00    9.87389805e-01   -3.99106530e-04    8.30745643e-05   -4.56585032e-04    9.82755236e-01   -5.61609102e-04   -3.59319924e-04    2.05333953e-03    1.03089748e+00
    3.27952746e-01    1.00033288e+00    9.86639532e-01   -4.24429379e-04    8.43426788e-05   -4.76219795e-04    9.81710009e-01   -5.85619335e-04   -3.88004003e-04    2.15999815e-03    1.03279541e+00
    3.47722706e-01    1.00034568e+00    9.85860592e-01   -4.50907428e-04    8.52769164e-05   -4.96030523e-04    9.80623977e-01   -6.10187086e-04   -4.18184587e-04    2.27007355e-03    1.03477242e+00
    3.68316415e-01    1.00035891e+00    9.85051949e-01   -4.78590557e-04    8.58712253e-05   -5.15961220e-04    9.79495711e-01   -6.35274899e-04   -4.50201861e-04    2.38352978e-03    1.03683181e+00
    3.89768194e-01    1.00037257e+00    9.84212618e-01   -5.07521181e-04    8.60299403e-05   -5.35849019e-04    9.78323659e-01   -6.60897056e-04   -4.84229640e-04    2.50018789e-03    1.03897701e+00
    4.12113798e-01    1.00038668e+00    9.83341653e-01   -5.37729958e-04    8.55503152e-05   -5.55520564e-04    9.77106162e-01   -6.87034888e-04   -5.20170233e-04    2.61990689e-03    1.04121159e+00
    4.35390468e-01    1.00040126e+00    9.82438076e-01   -5.69242539e-04    8.42968525e-05   -5.74878715e-04    9.75841523e-01   -7.13515322e-04   -5.57938119e-04    2.74243285e-03    1.04353928e+00
    4.59637000e-01    1.00041631e+00    9.81500843e-01   -6.02083775e-04    8.21360492e-05   -5.93863176e-04    9.74528040e-01   -7.40200462e-04   -5.97617967e-04    2.86761346e-03    1.04596396e+00
    4.84893803e-01    1.00043187e+00    9.80528856e-01   -6.36292220e-04    7.91032383e-05   -6.12445296e-04    9.73163991e-01   -7.67208828e-04   -6.39539193e-04    2.99583970e-03    1.04848967e+00
    5.11202974e-01    1.00044793e+00    9.79521022e-01   -6.71892512e-04    7.53101403e-05   -6.30516821e-04    9.71747574e-01   -7.94677393e-04   -6.83905833e-04    3.12752360e-03    1.05112061e+00
    5.38608360e-01    1.00046452e+00    9.78476237e-01   -7.08907363e-04    7.08113511e-05   -6.47989016e-04    9.70276939e-01   -8.22517601e-04   -7.30819899e-04    3.26254584e-03    1.05386118e+00
    5.67155637e-01    1.00048166e+00    9.77393378e-01   -7.47370730e-04    6.56323127e-05   -6.64799978e-04    9.68750175e-01   -8.50615779e-04   -7.80313941e-04    3.40054401e-03    1.05671595e+00
    5.96892384e-01    1.00049936e+00    9.76271331e-01   -7.87379799e-04    5.95184961e-05   -6.80908616e-04    9.67165302e-01   -8.79045710e-04   -8.32187254e-04    3.54116993e-03    1.05968966e+00
    6.27868162e-01    1.00051766e+00    9.75108950e-01   -8.28993638e-04    5.22634895e-05   -6.96273117e-04    9.65520292e-01   -9.07802050e-04   -8.86526141e-04    3.68381703e-03    1.06278728e+00
    6.60134598e-01    1.00053657e+00    9.73905027e-01   -8.72298656e-04    4.38578544e-05   -7.10793830e-04    9.63813115e-01   -9.36878465e-04   -9.43749332e-04    3.82774360e-03    1.06601397e+00
    6.93745468e-01    1.00055611e+00    9.72658348e-01   -9.17361037e-04    3.45466602e-05   -7.24268785e-04    9.62041683e-01   -9.66014864e-04   -1.00421765e-03    3.97223618e-03    1.06937511e+00
    7.28756791e-01    1.00057632e+00    9.71367647e-01   -9.64361159e-04    2.40335546e-05   -7.36597318e-04    9.60203908e-01   -9.94873638e-04   -1.06829173e-03    4.11668420e-03    1.07287630e+00
    7.65226920e-01    1.00059722e+00    9.70031816e-01   -1.01333379e-03    1.21468611e-05   -7.47476869e-04    9.58297484e-01   -1.02327507e-03   -1.13632680e-03    4.26078321e-03    1.07652337e+00
    8.03216637e-01    1.00061884e+00    9.68649705e-01   -1.06422197e-03   -1.37168203e-06   -7.56443357e-04    9.56320075e-01   -1.05108603e-03   -1.20777190e-03    4.40400145e-03    1.08032241e+00
    8.42789259e-01    1.00064122e+00    9.67220184e-01   -1.11688812e-03   -1.60316789e-05   -7.63158388e-04    9.54269264e-01   -1.07807270e-03   -1.28193196e-03    4.54619186e-03    1.08427974e+00
    8.84010740e-01    1.00066439e+00    9.65741931e-01   -1.17132391e-03   -3.21587952e-05   -7.67404000e-04    9.52142794e-01   -1.10415877e-03   -1.35836093e-03    4.68663976e-03    1.08840196e+00
    9.26949783e-01    1.00068840e+00    9.64213599e-01   -1.22753082e-03   -4.98263349e-05   -7.69096293e-04    9.49938364e-01   -1.12904327e-03   -1.43802551e-03    4.82501186e-03    1.09269595e+00
    9.71677953e-01    1.00071327e+00    9.62633984e-01   -1.28484284e-03   -6.84232571e-05   -7.67803623e-04    9.47653464e-01   -1.15304488e-03   -1.52200539e-03    4.96188638e-03    1.09716886e+00
    1.01826980e+00    1.00073907e+00    9.61002476e-01   -1.34251678e-03   -8.74462880e-05   -7.63282000e-04    9.45284969e-01   -1.17615920e-03   -1.61097450e-03    5.09650796e-03    1.10182814e+00
    1.06680297e+00    1.00076583e+00    9.59317939e-01   -1.40080612e-03   -1.06790146e-04   -7.55200854e-04    9.42830253e-01   -1.19865534e-03   -1.70468118e-03    5.22761202e-03    1.10668157e+00
    1.11735835e+00    1.00079361e+00    9.57579486e-01   -1.45932417e-03   -1.26476397e-04   -7.43543283e-04    9.40286396e-01   -1.22045888e-03   -1.80396036e-03    5.35415003e-03    1.11173723e+00
    1.17002021e+00    1.00082246e+00    9.55786084e-01   -1.51811558e-03   -1.47181890e-04   -7.28906672e-04    9.37650607e-01   -1.24166244e-03   -1.90889736e-03    5.47673172e-03    1.11700354e+00
    1.20000000e+00    1.00083445e+00    9.54770799e-01   -1.55109051e-03   -1.59154169e-04   -7.19984587e-04    9.36154545e-01   -1.25326611e-03   -1.96915227e-03    5.54413827e-03    1.12000159e+00
